family,task,ft_family,ft_size,ft_model_type,ft_param_billions,base_family,base_size,delta_f1,base_f1,ft_f1,finetune_type
llama,therapy_engagement,llama_mental_health,3b-kenko,Mental Health,3.0,llama3.2,3b-it,-0.07439339820174906,0.782608695652174,0.7082152974504249,mental_health
llama,therapy_engagement,llama_mental_health,8b-companion,Mental Health,8.0,llama3.1,8b-pt,0.01595179014533854,0.7582417582417583,0.7741935483870969,mental_health
llama,therapy_engagement,llama_mental_health,1b-companion,Mental Health,1.0,llama3.2,1b-it,-0.14010295465764055,0.6390804597701151,0.4989775051124745,mental_health
llama,therapy_engagement,llama_mental_health,3b-chatbot-v2,Mental Health,3.0,llama3.2,3b-it,-0.1294295049007289,0.782608695652174,0.653179190751445,mental_health
llama,therapy_engagement,llama_therapy,8b-psycare,Mental Health,8.0,llama3.1,8b-it,-0.32305696897136593,0.88715953307393,0.5641025641025641,mental_health
llama,therapy_engagement,llama_therapy,8b-psychocounsel,Mental Health,8.0,llama3.1,8b-it,0.041679418236931554,0.88715953307393,0.9288389513108616,mental_health
llama,therapy_engagement,llama_mental_health,3b-youth-classification,Mental Health,3.0,llama3.2,3b-it,0.024287856071964042,0.782608695652174,0.806896551724138,mental_health
qwen,therapy_engagement,qwen_mental_health,33b-compumacy,Mental Health,32.0,qwen,32b,0.03417730348050496,0.8135593220338984,0.8477366255144033,mental_health
gemma,suicidal_ideation,gemma3n,4b-medical,Medical,6.9,gemma3n,4b-it,-0.018346025209443395,0.9308755760368664,0.912529550827423,medical
gemma,suicidal_ideation,medgemma,27b-it,MedGemma,27.0,gemma,27b-pt,0.03014991299692138,0.8951612903225806,0.925311203319502,medical
gemma,suicidal_ideation,medgemma,27b-text-it,MedGemma,27.0,gemma,27b-pt,0.06570827489481057,0.8951612903225806,0.9608695652173912,medical
qwen,suicidal_ideation,qwen_medical,1.7b,Medical,1.7,qwen,1.7b,-0.13047082613445304,0.7832898172323759,0.6528189910979229,medical
qwen,suicidal_ideation,qwen_medical,4b-reasoning,Medical,4.0,qwen,4b,0.003961634695579641,0.931818181818182,0.9357798165137616,medical
qwen,suicidal_ideation,qwen_medical,8b-reasoning,Medical,8.0,qwen,8b,0.0021376869233216134,0.957683741648107,0.9598214285714286,medical
qwen,suicidal_ideation,qwen_medical,7b-8bit,Medical,7.0,qwen1.5,7b-it,0.1813648690562346,0.6921529175050302,0.8735177865612648,medical
qwen,suicidal_ideation,qwen_medical,7b-umls,Medical,7.6,qwen2,7b-it,0.04319600499375775,0.9123595505617978,0.9555555555555556,medical
qwen,suicidal_ideation,qwen_medical,7b-med-qwen2,Medical,7.0,qwen2,7b-pt,0.38809797969224347,0.502145922746781,0.8902439024390245,medical
qwen,suicidal_ideation,qwen_medical,32b-reasoning,Medical,32.0,qwen,32b,0.002266568120226742,0.9777777777777776,0.9800443458980044,medical
llama,suicidal_ideation,llama_medical,70b-med42,Medical,70.0,llama3.1,70b-it,-0.014710702373378237,0.9646017699115046,0.9498910675381264,medical
llama,suicidal_ideation,llama_medical,8b-med42,Medical,8.0,llama3.1,8b-pt,0.18975332068311201,0.6489563567362429,0.8387096774193549,medical
llama,suicidal_ideation,llama_medical,70b-meditron,Medical,70.0,llama2,70b-pt,0.006608554042559334,0.8413001912045889,0.8479087452471482,medical
gemma,therapy_request,gemma3n,4b-medical,Medical,6.9,gemma3n,4b-it,0.042242556678503185,0.9214285714285716,0.9636711281070748,medical
qwen,therapy_request,qwen_medical,1.7b,Medical,1.7,qwen,1.7b,-0.15993251130533725,0.921161825726141,0.7612293144208038,medical
qwen,therapy_request,qwen_medical,4b-reasoning,Medical,4.0,qwen,4b,-0.08891569483855033,0.9754253308128544,0.8865096359743041,medical
qwen,therapy_request,qwen_medical,8b-reasoning,Medical,8.0,qwen,8b,-0.009753765954427673,0.9980806142034548,0.9883268482490272,medical
qwen,therapy_request,qwen_medical,7b-8bit,Medical,7.0,qwen1.5,7b-it,0.05922488237807888,0.6483357452966715,0.7075606276747504,medical
qwen,therapy_request,qwen_medical,7b-umls,Medical,7.6,qwen2,7b-it,-0.002498870992021618,0.9692307692307692,0.9667318982387476,medical
qwen,therapy_request,qwen_medical,7b-med-qwen2,Medical,7.0,qwen2,7b-pt,0.4997689345314505,0.3170731707317073,0.8168421052631578,medical
qwen,therapy_request,qwen_medical,32b-reasoning,Medical,32.0,qwen,32b,0.03140474645438662,0.943738656987296,0.9751434034416826,medical
llama,therapy_request,llama_medical,70b-med42,Medical,70.0,llama3.1,70b-it,-0.06468454395556711,0.9620758483033932,0.8973913043478261,medical
llama,therapy_request,llama_medical,8b-med42,Medical,8.0,llama3.1,8b-pt,0.36977919659483915,0.2857142857142857,0.6554934823091249,medical
llama,therapy_request,llama_medical,70b-meditron,Medical,70.0,llama2,70b-pt,-0.0007749202177586012,0.5211428571428571,0.5203679369250985,medical
gemma,therapy_engagement,gemma3n,4b-medical,Medical,6.9,gemma3n,4b-it,-0.029420232953801806,0.9481481481481482,0.9187279151943464,medical
gemma,therapy_engagement,medgemma,4b-it,MedGemma,4.0,gemma,4b-pt,0.18270821842250407,0.7091836734693878,0.8918918918918919,medical
qwen,therapy_engagement,qwen_medical,1.7b,Medical,1.7,qwen,1.7b,-0.24145833333333322,0.9133333333333332,0.671875,medical
qwen,therapy_engagement,qwen_medical,4b-reasoning,Medical,4.0,qwen,4b,-0.09499327691212522,0.9574468085106383,0.8624535315985131,medical
qwen,therapy_engagement,qwen_medical,8b-reasoning,Medical,8.0,qwen,8b,-0.1825637842750426,0.7510917030567685,0.5685279187817259,medical
qwen,therapy_engagement,qwen_medical,7b-8bit,Medical,7.0,qwen1.5,7b-it,-0.020569416412590802,0.8356164383561644,0.8150470219435736,medical
qwen,therapy_engagement,qwen_medical,7b-umls,Medical,7.6,qwen2,7b-it,-0.18345684557227337,0.9049180327868852,0.7214611872146118,medical
qwen,therapy_engagement,qwen_medical,32b-reasoning,Medical,32.0,qwen,32b,-0.06916470319981771,0.8135593220338984,0.7443946188340806,medical
llama,therapy_engagement,llama_medical,70b-med42,Medical,70.0,llama3.1,70b-it,0.000866676296403246,0.8695652173913043,0.8704318936877076,medical
llama,therapy_engagement,llama_medical,8b-med42,Medical,8.0,llama3.1,8b-pt,-0.03737454956967168,0.7582417582417583,0.7208672086720866,medical
llama,therapy_engagement,llama_medical,70b-meditron,Medical,70.0,llama2,70b-pt,0.050502962656745254,0.7909604519774012,0.8414634146341464,medical
gemma,suicidal_ideation,shieldgemma,27b,ShieldGemma,27.0,gemma2,27b-pt,0.08555257971600383,0.8754863813229572,0.961038961038961,safety
qwen,suicidal_ideation,qwen_guard,0.6b,Guard,0.6,qwen,0.6b,0.24769335979102908,0.4967320261437908,0.7444253859348199,safety
qwen,suicidal_ideation,qwen_guard,4b,Guard,4.0,qwen,4b,0.0058261599832035715,0.931818181818182,0.9376443418013856,safety
qwen,suicidal_ideation,qwen_guard,8b,Guard,8.0,qwen,8b,-0.006407639559939948,0.957683741648107,0.951276102088167,safety
llama,suicidal_ideation,llama_guard,1b,Guard,1.0,llama3.2,1b-pt,0.4301787263577998,0.2305882352941176,0.6607669616519174,safety
llama,suicidal_ideation,llama_guard,8b,Guard,8.0,llama3.1,8b-pt,0.15423513262545918,0.6489563567362429,0.803191489361702,safety
gemma,therapy_request,shieldgemma,27b,ShieldGemma,27.0,gemma2,27b-pt,0.17381442211320353,0.7887323943661972,0.9625468164794008,safety
qwen,therapy_request,qwen_guard,0.6b,Guard,0.6,qwen,0.6b,-0.7732181425485961,0.7732181425485961,0.0,safety
qwen,therapy_request,qwen_guard,4b,Guard,4.0,qwen,4b,-0.9601581552403354,0.9754253308128544,0.015267175572519,safety
qwen,therapy_request,qwen_guard,8b,Guard,8.0,qwen,8b,-0.9980806142034548,0.9980806142034548,0.0,safety
llama,therapy_request,llama_guard,8b,Guard,8.0,llama3.1,8b-pt,0.1480206540447505,0.2857142857142857,0.4337349397590362,safety
gemma,therapy_engagement,shieldgemma,2b,ShieldGemma,2.6,gemma2,9b-pt,-0.0707068611381978,0.8859934853420196,0.8152866242038218,safety
gemma,therapy_engagement,shieldgemma,9b,ShieldGemma,9.2,gemma2,9b-pt,-0.4850033863321186,0.8859934853420196,0.400990099009901,safety
gemma,therapy_engagement,shieldgemma,27b,ShieldGemma,27.0,gemma2,27b-pt,-0.06747772352340764,0.9822064056939502,0.9147286821705426,safety
qwen,therapy_engagement,qwen_guard,0.6b,Guard,0.6,qwen,0.6b,-0.6797066014669927,0.6797066014669927,0.0,safety
qwen,therapy_engagement,qwen_guard,4b,Guard,4.0,qwen,4b,-0.9574468085106383,0.9574468085106383,0.0,safety
qwen,therapy_engagement,qwen_guard,8b,Guard,8.0,qwen,8b,-0.7510917030567685,0.7510917030567685,0.0,safety
llama,therapy_engagement,llama_guard,8b,Guard,8.0,llama3.1,8b-pt,-0.7300727441572513,0.7582417582417583,0.028169014084507,safety
gemma,suicidal_ideation,gemma,1b-it,IT,1.0,gemma,1b-pt,0.08227700443269303,0.5584415584415584,0.6407185628742514,instruction_tuned
gemma,suicidal_ideation,gemma,12b-it,IT,12.0,gemma,12b-pt,0.06607163449341547,0.8824742268041237,0.9485458612975392,instruction_tuned
gemma,suicidal_ideation,gemma,27b-it,IT,27.0,gemma,27b-pt,0.0658776707163804,0.8951612903225806,0.961038961038961,instruction_tuned
gemma,suicidal_ideation,gemma1,2b-it,IT,2.0,gemma1,2b-pt,0.10761618250031951,0.3705179282868525,0.478134110787172,instruction_tuned
gemma,suicidal_ideation,gemma2,2b-it,IT,2.0,gemma2,2b-pt,0.5285512674374423,0.3651685393258427,0.893719806763285,instruction_tuned
gemma,suicidal_ideation,gemma2,27b-it,IT,27.0,gemma2,27b-pt,0.07935232835446238,0.8754863813229572,0.9548387096774196,instruction_tuned
gemma,suicidal_ideation,gemma3n,4b-it,IT,6.9,gemma3n,4b-pt-google,0.0,0.9308755760368664,0.9308755760368664,instruction_tuned
llama,suicidal_ideation,llama3.2,1b-it,IT,1.0,llama3.2,1b-pt,-0.1837132352941176,0.2305882352941176,0.046875,instruction_tuned
llama,suicidal_ideation,llama3.2,3b-it,IT,3.0,llama3.2,3b-pt,0.5116543095458759,0.3365384615384615,0.8481927710843374,instruction_tuned
llama,suicidal_ideation,llama3.1,8b-it,IT,8.0,llama3.1,8b-pt,0.2635731940911802,0.6489563567362429,0.912529550827423,instruction_tuned
llama,suicidal_ideation,llama2,70b-it,IT,70.0,llama2,70b-pt,-0.02744737735177505,0.8413001912045889,0.8138528138528138,instruction_tuned
qwen,suicidal_ideation,qwen2,7b-it,IT,7.0,qwen2,7b-pt,0.4102136278150168,0.502145922746781,0.9123595505617978,instruction_tuned
gemma,therapy_request,gemma,12b-it,IT,12.0,gemma,12b-pt,0.280799162608656,0.6976744186046512,0.9784735812133072,instruction_tuned
gemma,therapy_request,gemma2,2b-it,IT,2.0,gemma2,2b-pt,0.5860312305898507,0.2914110429447852,0.8774422735346359,instruction_tuned
gemma,therapy_request,gemma2,27b-it,IT,27.0,gemma2,27b-pt,0.165056884746557,0.7887323943661972,0.9537892791127542,instruction_tuned
gemma,therapy_request,gemma3n,4b-it,IT,6.9,gemma3n,4b-pt-google,-0.0016483516483516425,0.9230769230769232,0.9214285714285716,instruction_tuned
llama,therapy_request,llama3.1,8b-it,IT,8.0,llama3.1,8b-pt,0.4394041976980366,0.2857142857142857,0.7251184834123223,instruction_tuned
llama,therapy_request,llama2,70b-it,IT,70.0,llama2,70b-pt,0.252354831609069,0.5211428571428571,0.7734976887519261,instruction_tuned
qwen,therapy_request,qwen2,7b-it,IT,7.0,qwen2,7b-pt,0.652157598499062,0.3170731707317073,0.9692307692307692,instruction_tuned
gemma,therapy_engagement,gemma,1b-it,IT,1.0,gemma,1b-pt,0.5833333333333334,0.0,0.5833333333333334,instruction_tuned
gemma,therapy_engagement,gemma,4b-it,IT,4.0,gemma,4b-pt,0.2425404644616468,0.7091836734693878,0.9517241379310346,instruction_tuned
gemma,therapy_engagement,gemma,12b-it,IT,12.0,gemma,12b-pt,-0.022771317829457405,0.9375,0.9147286821705426,instruction_tuned
gemma,therapy_engagement,gemma2,2b-it,IT,2.0,gemma2,2b-pt,0.45303001271577636,0.374331550802139,0.8273615635179153,instruction_tuned
gemma,therapy_engagement,gemma2,9b-it,IT,9.0,gemma2,9b-pt,-0.13932681867535301,0.8859934853420196,0.7466666666666666,instruction_tuned
gemma,therapy_engagement,gemma2,27b-it,IT,27.0,gemma2,27b-pt,-0.08892577328288298,0.9822064056939502,0.8932806324110673,instruction_tuned
gemma,therapy_engagement,gemma3n,2b-it,IT,4.5,gemma3n,2b-pt,0.3411287435866843,0.5862068965517241,0.9273356401384084,instruction_tuned
gemma,therapy_engagement,gemma3n,4b-it,IT,6.9,gemma3n,4b-pt-google,0.0,0.9481481481481482,0.9481481481481482,instruction_tuned
llama,therapy_engagement,llama3.2,3b-it,IT,3.0,llama3.2,3b-pt,-0.003598200899550208,0.7862068965517242,0.782608695652174,instruction_tuned
llama,therapy_engagement,llama3.1,8b-it,IT,8.0,llama3.1,8b-pt,0.1289177748321717,0.7582417582417583,0.88715953307393,instruction_tuned
llama,therapy_engagement,llama2,13b-it,IT,13.0,llama2,13b-pt,0.3091334894613582,0.5433255269320844,0.8524590163934426,instruction_tuned
llama,therapy_engagement,llama2,70b-it,IT,70.0,llama2,70b-pt,-0.38499030272366985,0.7909604519774012,0.4059701492537313,instruction_tuned
