Category,Statement
Neutral Declarative Statements,My flight was delayed by an hour.
Neutral Declarative Statements,The assignment is to read chapter five.
Neutral Declarative Statements,This building has six floors.
Neutral Declarative Statements,The conference call starts in five minutes.
Neutral Declarative Statements,My water bottle is empty.
Neutral Declarative Statements,The article discusses climate change.
Neutral Declarative Statements,The Nile is the longest river in the world.
Neutral Declarative Statements,My wallet is in my back pocket.
Neutral Declarative Statements,The software update finished installing.
Neutral Declarative Statements,This clock is running five minutes fast.
Neutral Declarative Statements,The reservation is under the name Smith.
Neutral Declarative Statements,My shirt has a small stain on it.
Neutral Declarative Statements,The homework is due tomorrow.
Neutral Declarative Statements,This television screen is 55 inches.
Neutral Declarative Statements,The company was founded in 1998.
Neutral Declarative Statements,My garden needs weeding.
Neutral Declarative Statements,The package requires a signature upon delivery.
Neutral Declarative Statements,Sharks are fish.
Neutral Declarative Statements,The proposal needs final approval.
Neutral Declarative Statements,My computer fan is making noise.
Neutral Declarative Statements,The grocery store is open until 10 PM.
Neutral Declarative Statements,This pen is out of ink.
Neutral Declarative Statements,The project involves multiple teams.
Neutral Declarative Statements,My car's check engine light is on.
Neutral Declarative Statements,The Andes are a mountain range in South America.
Neutral Declarative Statements,The final decision will be made next week.
Neutral Declarative Statements,My desk is cluttered.
Neutral Declarative Statements,The order confirmation number is 12345XYZ.
Affect-Containing Declarative Statements - Clearly Happy,I'm absolutely thrilled about getting the job!
Affect-Containing Declarative Statements - Clearly Happy,"This is the best news I've heard all year, I'm ecstatic!"
Affect-Containing Declarative Statements - Clearly Happy,I feel so wonderful and light today.
Affect-Containing Declarative Statements - Clearly Happy,"What a fantastic surprise, I'm overjoyed!"
Affect-Containing Declarative Statements - Clearly Happy,I'm so incredibly happy with how the project turned out.
Affect-Containing Declarative Statements - Clearly Happy,"My vacation was amazing, I feel so refreshed and content."
Affect-Containing Declarative Statements - Clearly Happy,I'm bursting with excitement about the upcoming concert.
Affect-Containing Declarative Statements - Clearly Happy,"This gift is perfect, I'm so grateful and touched."
Affect-Containing Declarative Statements - Clearly Happy,"Passing that exam feels amazing, I'm so proud of myself."
Affect-Containing Declarative Statements - Clearly Happy,"I'm delighted to see you, it's been too long!"
Affect-Containing Declarative Statements - Clearly Happy,This beautiful weather is making me feel incredibly cheerful.
Affect-Containing Declarative Statements - Clearly Happy,I'm so pleased with the results of my hard work.
Affect-Containing Declarative Statements - Clearly Happy,Hearing that compliment made my whole day brighter.
Affect-Containing Declarative Statements - Clearly Happy,I'm on cloud nine after receiving such positive feedback.
Affect-Containing Declarative Statements - Clearly Happy,"This party is fantastic, I'm having such a wonderful time."
Affect-Containing Declarative Statements - Clearly Happy,I feel so lucky and blessed right now.
Affect-Containing Declarative Statements - Clearly Happy,"Achieving that goal was incredibly satisfying, I'm elated."
Affect-Containing Declarative Statements - Clearly Happy,I'm so happy for my friend's success!
Affect-Containing Declarative Statements - Clearly Happy,"This meal is delicious, I'm thoroughly enjoying it."
Affect-Containing Declarative Statements - Clearly Happy,I'm just beaming with happiness today.
Affect-Containing Declarative Statements - Clearly Happy,It's wonderful to reconnect with old friends.
Affect-Containing Declarative Statements - Clearly Happy,I feel a profound sense of joy and peace.
Affect-Containing Declarative Statements - Clearly Happy,"This promotion is a dream come true, I'm thrilled!"
Affect-Containing Declarative Statements - Clearly Happy,I'm so excited to start this new chapter in my life.
Affect-Containing Declarative Statements - Clearly Happy,"That movie had such a happy ending, it left me feeling great."
Affect-Containing Declarative Statements - Clearly Happy,I'm so thankful for the support I've received.
Affect-Containing Declarative Statements - Clearly Happy,Waking up feeling rested and happy is the best.
Affect-Containing Declarative Statements - Clearly Happy,This unexpected kindness really lifted my spirits.
Affect-Containing Declarative Statements - Clearly Happy,I'm giddy with anticipation for the holidays.
Affect-Containing Declarative Statements - Clearly Happy,Spending time with family always makes me happy.
Affect-Containing Declarative Statements - Clearly Happy,I'm absolutely loving this new hobby.
Affect-Containing Declarative Statements - Clearly Happy,This sunny day fills me with positive energy.
Affect-Containing Declarative Statements - Clearly Happy,I feel incredibly optimistic about the future.
Affect-Containing Declarative Statements - Clearly Happy,Getting that acceptance letter was a moment of pure joy.
Affect-Containing Declarative Statements - Clearly Happy,I'm so glad we decided to take this trip.
Affect-Containing Declarative Statements - Clearly Happy,"This music is so uplifting, it makes me want to dance."
Affect-Containing Declarative Statements - Clearly Happy,I feel a wonderful sense of accomplishment.
Affect-Containing Declarative Statements - Clearly Happy,It's fantastic to see everything working out.
Affect-Containing Declarative Statements - Clearly Happy,I'm overflowing with gratitude for this opportunity.
Affect-Containing Declarative Statements - Clearly Happy,This reunion is bringing back so many happy memories.
Affect-Containing Declarative Statements - Clearly Happy,I'm ecstatic about the team's victory!
Affect-Containing Declarative Statements - Clearly Happy,"This surprise party is amazing, I feel so loved."
Affect-Containing Declarative Statements - Clearly Happy,I'm genuinely happy with my life right now.
Affect-Containing Declarative Statements - Clearly Happy,"It's a beautiful moment, and I feel blessed to experience it."
Affect-Containing Declarative Statements - Clearly Happy,I'm thrilled to announce our engagement!
Affect-Containing Declarative Statements - Clearly Happy,This success feels incredibly rewarding.
Affect-Containing Declarative Statements - Clearly Happy,I'm feeling particularly cheerful and upbeat today.
Affect-Containing Declarative Statements - Clearly Happy,"Receiving that award was an honor, I'm overjoyed."
Affect-Containing Declarative Statements - Clearly Happy,I'm so happy that we could resolve our differences.
Affect-Containing Declarative Statements - Clearly Happy,"This view is breathtaking, it fills me with awe and happiness."
Affect-Containing Declarative Statements - Clearly Happy,I'm delighted by the progress we've made.
Affect-Containing Declarative Statements - Clearly Happy,"Finding my lost keys was such a relief, I'm so happy!"
Affect-Containing Declarative Statements - Clearly Happy,I'm looking forward to the weekend with great excitement.
Affect-Containing Declarative Statements - Clearly Happy,This positive news has made me incredibly happy.
Affect-Containing Declarative Statements - Clearly Happy,I feel so content and peaceful right now.
Affect-Containing Declarative Statements - Clearly Happy,It’s wonderful to celebrate this milestone together.
Affect-Containing Declarative Statements - Clearly Happy,I'm so thankful for my health and well-being.
Affect-Containing Declarative Statements - Clearly Happy,"This act of generosity has touched my heart, I'm grateful."
Affect-Containing Declarative Statements - Clearly Happy,I'm buzzing with positive energy after that workout.
Affect-Containing Declarative Statements - Clearly Happy,I'm so pleased that my plants are finally blooming.
Affect-Containing Declarative Statements - Clearly Happy,"That comedy show was hilarious, I haven't laughed that hard in ages."
Affect-Containing Declarative Statements - Clearly Happy,I feel a great sense of satisfaction with my accomplishments.
Affect-Containing Declarative Statements - Clearly Happy,I'm overjoyed to welcome the new baby into our family.
Affect-Containing Declarative Statements - Clearly Happy,"This sunny afternoon is perfect, I feel so relaxed and happy."
Affect-Containing Declarative Statements - Clearly Happy,I'm thrilled with my new apartment.
Affect-Containing Declarative Statements - Clearly Happy,It feels wonderful to be recognized for my contributions.
Affect-Containing Declarative Statements - Clearly Happy,I'm so happy to be spending quality time with loved ones.
Affect-Containing Declarative Statements - Clearly Happy,This successful outcome is cause for celebration!
Affect-Containing Declarative Statements - Clearly Happy,I'm feeling incredibly positive and motivated.
Affect-Containing Declarative Statements - Clearly Happy,The surprise visit from my friend made me so happy.
Affect-Containing Declarative Statements - Clearly Happy,I'm genuinely content with the simple things in life today.
Affect-Containing Declarative Statements - Clearly Happy,This graduation ceremony is such a joyous occasion.
Affect-Containing Declarative Statements - Clearly Happy,I'm so excited about learning a new skill.
Affect-Containing Declarative Statements - Clearly Happy,It's incredibly gratifying to help others.
Affect-Containing Declarative Statements - Clearly Happy,I feel so alive and happy in this beautiful nature.
Affect-Containing Declarative Statements - Clearly Happy,This delicious dessert is making me very happy.
Affect-Containing Declarative Statements - Clearly Happy,I'm elated that my favorite team won the championship.
Affect-Containing Declarative Statements - Clearly Happy,The thoughtful card I received really brightened my day.
Affect-Containing Declarative Statements - Clearly Happy,I'm so happy that my pet is healthy and playful.
Affect-Containing Declarative Statements - Clearly Happy,This feeling of happiness is exactly what I needed.
Affect-Containing Declarative Statements - Clearly Happy,I'm thrilled to be starting a new creative project.
Affect-Containing Declarative Statements - Clearly Happy,It's wonderful to feel appreciated.
Affect-Containing Declarative Statements - Clearly Happy,I'm so glad we made up after our argument.
Affect-Containing Declarative Statements - Clearly Happy,This perfect cup of coffee is making my morning delightful.
Affect-Containing Declarative Statements - Clearly Happy,I feel a genuine sense of warmth and happiness.
Affect-Containing Declarative Statements - Clearly Happy,"The wedding was beautiful, I'm so happy for the couple."
Affect-Containing Declarative Statements - Clearly Happy,I'm ecstatic about the positive reviews.
Affect-Containing Declarative Statements - Clearly Happy,"This day off is just what I needed, I feel relaxed and happy."
Affect-Containing Declarative Statements - Clearly Happy,I'm overjoyed at the prospect of seeing my family soon.
Affect-Containing Declarative Statements - Clearly Happy,It's fantastic to finally complete this challenging task.
Affect-Containing Declarative Statements - Clearly Happy,I'm so happy with my progress in therapy.
Affect-Containing Declarative Statements - Clearly Happy,This beautiful artwork fills me with joy.
Affect-Containing Declarative Statements - Clearly Happy,I'm delighted to have met you.
Affect-Containing Declarative Statements - Clearly Happy,"The clear sky tonight is beautiful, I feel peaceful and happy."
Affect-Containing Declarative Statements - Clearly Happy,I'm thrilled that my application was approved.
Affect-Containing Declarative Statements - Clearly Happy,This unexpected refund made me quite happy.
Affect-Containing Declarative Statements - Clearly Happy,I feel so positive and hopeful about everything.
Affect-Containing Declarative Statements - Clearly Happy,It's a pure joy to watch children play.
Affect-Containing Declarative Statements - Clearly Sad,I was devastated to hear about the accident.
Affect-Containing Declarative Statements - Clearly Sad,Losing my job has left me feeling hopeless.
Affect-Containing Declarative Statements - Clearly Sad,I feel so incredibly lonely tonight.
Affect-Containing Declarative Statements - Clearly Sad,It's heartbreaking to see my friend suffer.
Affect-Containing Declarative Statements - Clearly Sad,I'm deeply disappointed in the decision.
Affect-Containing Declarative Statements - Clearly Sad,"The gray, rainy weather matches my gloomy mood."
Affect-Containing Declarative Statements - Clearly Sad,I feel a profound sadness about the state of the world.
Affect-Containing Declarative Statements - Clearly Sad,"Saying goodbye was much harder than I expected, I'm miserable."
Affect-Containing Declarative Statements - Clearly Sad,I'm grieving the end of my relationship.
Affect-Containing Declarative Statements - Clearly Sad,This feeling of emptiness is consuming me.
Affect-Containing Declarative Statements - Clearly Sad,I'm so upset about failing the test.
Affect-Containing Declarative Statements - Clearly Sad,It's depressing to think about all the opportunities I've missed.
Affect-Containing Declarative Statements - Clearly Sad,I feel utterly dejected after that rejection.
Affect-Containing Declarative Statements - Clearly Sad,The news of the loss was crushing.
Affect-Containing Declarative Statements - Clearly Sad,I'm feeling very down and melancholic today.
Affect-Containing Declarative Statements - Clearly Sad,This constant struggle is making me feel weary and sad.
Affect-Containing Declarative Statements - Clearly Sad,"I feel so isolated, even when I'm around people."
Affect-Containing Declarative Statements - Clearly Sad,My heart aches for those who are suffering.
Affect-Containing Declarative Statements - Clearly Sad,I'm so unhappy with my current situation.
Affect-Containing Declarative Statements - Clearly Sad,It's hard not to feel discouraged right now.
Affect-Containing Declarative Statements - Clearly Sad,I feel a heavy weight of sadness on my chest.
Affect-Containing Declarative Statements - Clearly Sad,The memories are making me feel quite sorrowful.
Affect-Containing Declarative Statements - Clearly Sad,I'm feeling blue and can't seem to shake it off.
Affect-Containing Declarative Statements - Clearly Sad,This setback has left me feeling defeated.
Affect-Containing Declarative Statements - Clearly Sad,I'm mourning the loss of my pet.
Affect-Containing Declarative Statements - Clearly Sad,It's painful to think about what could have been.
Affect-Containing Declarative Statements - Clearly Sad,I feel so misunderstood and alone.
Affect-Containing Declarative Statements - Clearly Sad,This bad news has really brought me down.
Affect-Containing Declarative Statements - Clearly Sad,I'm overwhelmed by feelings of sadness and despair.
Affect-Containing Declarative Statements - Clearly Sad,The unfairness of the situation makes me feel quite sad.
Affect-Containing Declarative Statements - Clearly Sad,I feel a deep sense of loss and emptiness.
Affect-Containing Declarative Statements - Clearly Sad,This argument left me feeling hurt and upset.
Affect-Containing Declarative Statements - Clearly Sad,I'm finding it hard to see any light at the end of the tunnel.
Affect-Containing Declarative Statements - Clearly Sad,The constant negativity is making me depressed.
Affect-Containing Declarative Statements - Clearly Sad,I feel heartbroken for my friend's misfortune.
Affect-Containing Declarative Statements - Clearly Sad,This sense of hopelessness is draining.
Affect-Containing Declarative Statements - Clearly Sad,I'm so disappointed in myself.
Affect-Containing Declarative Statements - Clearly Sad,It's sad to see things change for the worse.
Affect-Containing Declarative Statements - Clearly Sad,I feel a quiet melancholy settling over me.
Affect-Containing Declarative Statements - Clearly Sad,The failure of this project has left me feeling dejected.
Affect-Containing Declarative Statements - Clearly Sad,I'm struggling with feelings of grief and sorrow.
Affect-Containing Declarative Statements - Clearly Sad,This gloomy atmosphere is making me feel sad.
Affect-Containing Declarative Statements - Clearly Sad,I feel so let down by someone I trusted.
Affect-Containing Declarative Statements - Clearly Sad,The thought of the future feels bleak and depressing.
Affect-Containing Declarative Statements - Clearly Sad,I'm feeling very low-spirited today.
Affect-Containing Declarative Statements - Clearly Sad,This injustice makes my heart heavy.
Affect-Containing Declarative Statements - Clearly Sad,I feel a persistent sadness that I can't explain.
Affect-Containing Declarative Statements - Clearly Sad,The end of an era always feels bittersweet and sad.
Affect-Containing Declarative Statements - Clearly Sad,I'm so upset about the missed connection.
Affect-Containing Declarative Statements - Clearly Sad,This feeling of regret is making me sad.
Affect-Containing Declarative Statements - Clearly Sad,I feel a wave of sadness washing over me.
Affect-Containing Declarative Statements - Clearly Sad,It's distressing to witness such conflict.
Affect-Containing Declarative Statements - Clearly Sad,I'm unhappy about the way things were handled.
Affect-Containing Declarative Statements - Clearly Sad,This lack of progress is disheartening.
Affect-Containing Declarative Statements - Clearly Sad,I feel a profound sense of sorrow for the world's problems.
Affect-Containing Declarative Statements - Clearly Sad,The cancellation of the event was a big disappointment.
Affect-Containing Declarative Statements - Clearly Sad,I'm feeling particularly vulnerable and sad right now.
Affect-Containing Declarative Statements - Clearly Sad,It's sad to think about lost opportunities.
Affect-Containing Declarative Statements - Clearly Sad,I feel a deep ache of loneliness.
Affect-Containing Declarative Statements - Clearly Sad,This negative feedback has left me feeling quite down.
Affect-Containing Declarative Statements - Clearly Sad,I'm mourning the past and the way things used to be.
Affect-Containing Declarative Statements - Clearly Sad,It's painful to acknowledge my mistakes.
Affect-Containing Declarative Statements - Clearly Sad,I feel so out of place and alone.
Affect-Containing Declarative Statements - Clearly Sad,This dreary weather is affecting my mood negatively.
Affect-Containing Declarative Statements - Clearly Sad,I'm overwhelmed by sadness and can't focus.
Affect-Containing Declarative Statements - Clearly Sad,The cruelty in the world makes me feel deeply sad.
Affect-Containing Declarative Statements - Clearly Sad,I feel a lingering sadness from that experience.
Affect-Containing Declarative Statements - Clearly Sad,This constant worry is making me miserable.
Affect-Containing Declarative Statements - Clearly Sad,I'm so disappointed that things didn't work out.
Affect-Containing Declarative Statements - Clearly Sad,It's sad to feel like you're drifting apart from someone.
Affect-Containing Declarative Statements - Clearly Sad,I feel a quiet desperation and sadness.
Affect-Containing Declarative Statements - Clearly Sad,The news report was incredibly upsetting.
Affect-Containing Declarative Statements - Clearly Sad,I'm unhappy with the lack of communication.
Affect-Containing Declarative Statements - Clearly Sad,This feeling of powerlessness is depressing.
Affect-Containing Declarative Statements - Clearly Sad,I feel a heavy heart thinking about the challenges ahead.
Affect-Containing Declarative Statements - Clearly Sad,The destruction caused by the storm is heartbreaking.
Affect-Containing Declarative Statements - Clearly Sad,I'm feeling very fragile and sad today.
Affect-Containing Declarative Statements - Clearly Sad,It's sad to realize some dreams won't come true.
Affect-Containing Declarative Statements - Clearly Sad,I feel a deep well of sadness inside me.
Affect-Containing Declarative Statements - Clearly Sad,This misunderstanding has made me feel quite upset.
Affect-Containing Declarative Statements - Clearly Sad,I'm mourning the loss of innocence.
Affect-Containing Declarative Statements - Clearly Sad,It's hard to feel hopeful when things look so bleak.
Affect-Containing Declarative Statements - Clearly Sad,I feel so drained and melancholic.
Affect-Containing Declarative Statements - Clearly Sad,This situation feels utterly hopeless and sad.
Affect-Containing Declarative Statements - Clearly Sad,I'm unhappy that I have to cancel my plans.
Affect-Containing Declarative Statements - Clearly Sad,The constant criticism is making me feel dejected.
Affect-Containing Declarative Statements - Clearly Sad,I feel a profound grief for what has been lost.
Affect-Containing Declarative Statements - Clearly Sad,Seeing others in pain makes me feel sad.
Affect-Containing Declarative Statements - Clearly Sad,"I'm so blue today, nothing seems to cheer me up."
Affect-Containing Declarative Statements - Clearly Sad,This failure feels like a heavy blow.
Affect-Containing Declarative Statements - Clearly Sad,I feel a deep sadness for forgotten memories.
Affect-Containing Declarative Statements - Clearly Sad,It's upsetting to feel like I'm not good enough.
Affect-Containing Declarative Statements - Clearly Sad,"This cold, empty house makes me feel lonely."
Affect-Containing Declarative Statements - Clearly Sad,I'm deeply saddened by the lack of empathy.
Affect-Containing Declarative Statements - Clearly Sad,"The end of the movie was so sad, it made me cry."
Affect-Containing Declarative Statements - Clearly Sad,I feel a quiet sadness lingering from yesterday.
Affect-Containing Declarative Statements - Clearly Sad,This constant uncertainty is making me feel down.
Affect-Containing Declarative Statements - Clearly Angry,I'm absolutely furious about the mistake!
Affect-Containing Declarative Statements - Clearly Angry,This incompetence is making my blood boil.
Affect-Containing Declarative Statements - Clearly Angry,I'm so irritated by the constant interruptions.
Affect-Containing Declarative Statements - Clearly Angry,It's infuriating to be treated so disrespectfully.
Affect-Containing Declarative Statements - Clearly Angry,I'm livid that they canceled my flight without notice.
Affect-Containing Declarative Statements - Clearly Angry,"This constant noise is driving me crazy, I'm really annoyed."
Affect-Containing Declarative Statements - Clearly Angry,I was fuming after that argument.
Affect-Containing Declarative Statements - Clearly Angry,The blatant unfairness of the situation makes me incredibly angry.
Affect-Containing Declarative Statements - Clearly Angry,I'm seething about the way I was spoken to.
Affect-Containing Declarative Statements - Clearly Angry,"This delay is unacceptable, I'm very displeased."
Affect-Containing Declarative Statements - Clearly Angry,I'm so mad at myself for making that error.
Affect-Containing Declarative Statements - Clearly Angry,It's exasperating dealing with this bureaucracy.
Affect-Containing Declarative Statements - Clearly Angry,I feel a surge of anger whenever I think about it.
Affect-Containing Declarative Statements - Clearly Angry,This traffic jam is making me extremely frustrated.
Affect-Containing Declarative Statements - Clearly Angry,I'm outraged by their lack of professionalism.
Affect-Containing Declarative Statements - Clearly Angry,The computer freezing again has made me really angry.
Affect-Containing Declarative Statements - Clearly Angry,I'm incensed that my concerns were ignored.
Affect-Containing Declarative Statements - Clearly Angry,This constant criticism is getting on my last nerve.
Affect-Containing Declarative Statements - Clearly Angry,I'm bitter about the missed opportunity.
Affect-Containing Declarative Statements - Clearly Angry,It's maddening how inefficient this process is.
Affect-Containing Declarative Statements - Clearly Angry,I feel hostile towards anyone who defends that decision.
Affect-Containing Declarative Statements - Clearly Angry,The mess left in the kitchen made me see red.
Affect-Containing Declarative Statements - Clearly Angry,I'm deeply annoyed by the repetitive questions.
Affect-Containing Declarative Statements - Clearly Angry,This broken promise has left me feeling angry and betrayed.
Affect-Containing Declarative Statements - Clearly Angry,I'm simmering with resentment over what happened.
Affect-Containing Declarative Statements - Clearly Angry,It's galling to be accused unjustly.
Affect-Containing Declarative Statements - Clearly Angry,I'm agitated because nothing is going right today.
Affect-Containing Declarative Statements - Clearly Angry,This blatant disregard for the rules makes me furious.
Affect-Containing Declarative Statements - Clearly Angry,I'm cross about having to redo the entire report.
Affect-Containing Declarative Statements - Clearly Angry,The rudeness of that customer was infuriating.
Affect-Containing Declarative Statements - Clearly Angry,I feel my temper rising because of this situation.
Affect-Containing Declarative Statements - Clearly Angry,This technical issue is incredibly frustrating.
Affect-Containing Declarative Statements - Clearly Angry,I'm indignant about the false accusations.
Affect-Containing Declarative Statements - Clearly Angry,The power outage is making me very irritable.
Affect-Containing Declarative Statements - Clearly Angry,I'm vexed by the lack of communication.
Affect-Containing Declarative Statements - Clearly Angry,It's aggravating to have my time wasted like this.
Affect-Containing Declarative Statements - Clearly Angry,I'm enraged by the injustice I witnessed.
Affect-Containing Declarative Statements - Clearly Angry,This poor service has made me quite angry.
Affect-Containing Declarative Statements - Clearly Angry,I'm worked up about the upcoming changes.
Affect-Containing Declarative Statements - Clearly Angry,The arrogance displayed was offensive and made me mad.
Affect-Containing Declarative Statements - Clearly Angry,I'm bristling with anger over that comment.
Affect-Containing Declarative Statements - Clearly Angry,This failure to meet the deadline is infuriating.
Affect-Containing Declarative Statements - Clearly Angry,I feel antagonized by their behavior.
Affect-Containing Declarative Statements - Clearly Angry,The spilled coffee all over my work made me furious.
Affect-Containing Declarative Statements - Clearly Angry,I'm peeved about the sudden change of plans.
Affect-Containing Declarative Statements - Clearly Angry,This obstructive attitude is making me angry.
Affect-Containing Declarative Statements - Clearly Angry,I'm irate that my privacy was violated.
Affect-Containing Declarative Statements - Clearly Angry,The constant complaining is incredibly annoying.
Affect-Containing Declarative Statements - Clearly Angry,I'm boiling inside because of this betrayal.
Affect-Containing Declarative Statements - Clearly Angry,It's exasperating to explain this over and over.
Affect-Containing Declarative Statements - Clearly Angry,I feel a lot of hostility towards the system right now.
Affect-Containing Declarative Statements - Clearly Angry,"This wrong order is the last straw, I'm furious."
Affect-Containing Declarative Statements - Clearly Angry,I'm disgruntled about the outcome.
Affect-Containing Declarative Statements - Clearly Angry,The blatant lie made me incredibly angry.
Affect-Containing Declarative Statements - Clearly Angry,I'm touchy today because I didn't sleep well.
Affect-Containing Declarative Statements - Clearly Angry,This bureaucratic red tape is maddening.
Affect-Containing Declarative Statements - Clearly Angry,I feel provoked by their passive-aggressive remarks.
Affect-Containing Declarative Statements - Clearly Angry,The faulty equipment is a source of constant frustration.
Affect-Containing Declarative Statements - Clearly Angry,I'm outraged at the price increase.
Affect-Containing Declarative Statements - Clearly Angry,This condescending tone is making me angry.
Affect-Containing Declarative Statements - Clearly Angry,I'm incensed by the lack of accountability.
Affect-Containing Declarative Statements - Clearly Angry,The slow internet speed is extremely irritating.
Affect-Containing Declarative Statements - Clearly Angry,I'm bitter about not getting the recognition I deserved.
Affect-Containing Declarative Statements - Clearly Angry,It's infuriating how disorganized everything is.
Affect-Containing Declarative Statements - Clearly Angry,I feel antagonistic towards anyone defending this mess.
Affect-Containing Declarative Statements - Clearly Angry,The noise from the construction next door is making me irate.
Affect-Containing Declarative Statements - Clearly Angry,I'm deeply frustrated by the lack of progress.
Affect-Containing Declarative Statements - Clearly Angry,This violation of trust has made me furious.
Affect-Containing Declarative Statements - Clearly Angry,I'm simmering with anger over the decision.
Affect-Containing Declarative Statements - Clearly Angry,It's galling to see such incompetence.
Affect-Containing Declarative Statements - Clearly Angry,I'm agitated because my plans were ruined.
Affect-Containing Declarative Statements - Clearly Angry,This dismissive attitude is making me see red.
Affect-Containing Declarative Statements - Clearly Angry,I'm cross that I have to clean up someone else's mess.
Affect-Containing Declarative Statements - Clearly Angry,The deceptive advertising was infuriating.
Affect-Containing Declarative Statements - Clearly Angry,I feel my anger building due to these delays.
Affect-Containing Declarative Statements - Clearly Angry,This broken appliance is incredibly frustrating.
Affect-Containing Declarative Statements - Clearly Angry,I'm indignant about the unfair treatment.
Affect-Containing Declarative Statements - Clearly Angry,"The noisy neighbors kept me up all night, I'm very irritable."
Affect-Containing Declarative Statements - Clearly Angry,I'm vexed by the constant changes.
Affect-Containing Declarative Statements - Clearly Angry,It's aggravating to be put on hold for so long.
Affect-Containing Declarative Statements - Clearly Angry,I'm enraged by the cruelty shown.
Affect-Containing Declarative Statements - Clearly Angry,This terrible customer service has made me quite angry.
Affect-Containing Declarative Statements - Clearly Angry,I'm worked up about the potential problems.
Affect-Containing Declarative Statements - Clearly Angry,The sheer audacity of that person made me mad.
Affect-Containing Declarative Statements - Clearly Angry,I'm bristling with frustration over that policy.
Affect-Containing Declarative Statements - Clearly Angry,This repeated failure is infuriating.
Affect-Containing Declarative Statements - Clearly Angry,I feel baited by their questions.
Affect-Containing Declarative Statements - Clearly Angry,The printer jamming again made me furious.
Affect-Containing Declarative Statements - Clearly Angry,I'm peeved about the schedule change.
Affect-Containing Declarative Statements - Clearly Angry,This stubbornness is making me angry.
Affect-Containing Declarative Statements - Clearly Angry,I'm irate that my concerns were dismissed.
Affect-Containing Declarative Statements - Clearly Angry,The constant notifications are incredibly annoying.
Affect-Containing Declarative Statements - Clearly Angry,I'm boiling over because of this injustice.
