Category,Example_ID,Turn,Speaker,Utterance
Affect-Containing Declarative Statements - Clearly Sad,4,1,user,I'm deeply disappointed that the event was canceled.
Affect-Containing Declarative Statements - Clearly Sad,4,2,chatbot,Having something you were looking forward to get canceled is definitely disappointing. It's okay to feel let down.
Affect-Containing Declarative Statements - Clearly Sad,4,3,user,I was really excited about it.
Affect-Containing Declarative Statements - Clearly Sad,4,4,chatbot,"Anticipation makes the disappointment sharper. Allow yourself to feel that, and perhaps you can plan something else nice for yourself instead."
Affect-Containing Declarative Statements - Clearly Sad,5,1,user,I'm grieving the loss of my old neighborhood.
Affect-Containing Declarative Statements - Clearly Sad,5,2,chatbot,Grieving a place and the memories associated with it is a real form of loss. It sounds like that neighborhood held a lot of meaning for you.
Affect-Containing Declarative Statements - Clearly Sad,5,3,user,It just doesn't feel like home here yet.
Affect-Containing Declarative Statements - Clearly Sad,5,4,chatbot,Feeling like home takes time to develop. It involves creating new routines and memories. Be gentle with yourself during this transition.
Affect-Containing Declarative Statements - Clearly Sad,6,1,user,This constant feeling of sadness is exhausting.
Affect-Containing Declarative Statements - Clearly Sad,6,2,chatbot,"Carrying sadness constantly sounds incredibly exhausting. Emotional pain can be just as draining, if not more so, than physical exertion."
Affect-Containing Declarative Statements - Clearly Sad,6,3,user,I just have no energy.
Affect-Containing Declarative Statements - Clearly Sad,6,4,chatbot,Low energy often accompanies persistent sadness. It's okay to rest and perhaps focus on only the essential tasks for now.
Affect-Containing Declarative Statements - Clearly Sad,7,1,user,I feel miserable because my best friend is moving away.
Affect-Containing Declarative Statements - Clearly Sad,7,2,chatbot,That's really hard news. Having a best friend move away is a significant change and can definitely bring feelings of sadness and misery.
Affect-Containing Declarative Statements - Clearly Sad,7,3,user,I'm going to miss them so much.
Affect-Containing Declarative Statements - Clearly Sad,7,4,chatbot,"Anticipating that absence is painful. Planning ways to stay connected, like video calls, might help ease the transition when the time comes."
Affect-Containing Declarative Statements - Clearly Sad,8,1,user,I'm so unhappy with how that conversation went.
Affect-Containing Declarative Statements - Clearly Sad,8,2,chatbot,It's difficult when conversations don't go as hoped and leave you feeling unhappy. What about it left you feeling that way?
Affect-Containing Declarative Statements - Clearly Sad,8,3,user,"I feel like I wasn't heard, and things were misunderstood."
Affect-Containing Declarative Statements - Clearly Sad,8,4,chatbot,Feeling unheard and misunderstood is a really frustrating and often saddening experience. It's tough when communication breaks down like that.
Affect-Containing Declarative Statements - Clearly Sad,9,1,user,This gloomy weather is really bringing me down today.
Affect-Containing Declarative Statements - Clearly Sad,9,2,chatbot,It's quite common for gloomy weather to impact mood and energy levels. It sounds like it's hitting you today.
Affect-Containing Declarative Statements - Clearly Sad,9,3,user,"Yeah, makes it hard to feel motivated."
Affect-Containing Declarative Statements - Clearly Sad,9,4,chatbot,"Lack of motivation on dreary days is understandable. Sometimes doing something cozy indoors, like reading or watching a movie, can feel more manageable."
Affect-Containing Declarative Statements - Clearly Sad,10,1,user,I feel dejected after facing another rejection.
Affect-Containing Declarative Statements - Clearly Sad,10,2,chatbot,"Facing rejection, especially repeatedly, is incredibly disheartening and can certainly lead to feeling dejected. That sounds really tough."
Affect-Containing Declarative Statements - Clearly Sad,10,3,user,Makes me want to just give up.
Affect-Containing Declarative Statements - Clearly Sad,10,4,chatbot,Feeling like giving up after setbacks is a natural human response. Remember to be kind to yourself. Taking a break and acknowledging the effort you've put in is important.
Affect-Containing Declarative Statements - Clearly Angry,1,1,user,I'm so mad that my computer crashed and I lost my work!
Affect-Containing Declarative Statements - Clearly Angry,1,2,chatbot,"Oh no, losing work due to a computer crash is incredibly frustrating and infuriating! It's completely understandable to feel mad."
Affect-Containing Declarative Statements - Clearly Angry,1,3,user,"Hours of work, just gone!"
Affect-Containing Declarative Statements - Clearly Angry,1,4,chatbot,Losing hours of effort like that is truly upsetting. Take a moment to breathe; that's a genuinely difficult setback.
Affect-Containing Declarative Statements - Clearly Angry,2,1,user,It's infuriating how rude that person was to me.
Affect-Containing Declarative Statements - Clearly Angry,2,2,chatbot,Dealing with rudeness is unpleasant and often infuriating. It sounds like that interaction really bothered you.
Affect-Containing Declarative Statements - Clearly Angry,2,3,user,"Yeah, it just felt completely uncalled for."
Affect-Containing Declarative Statements - Clearly Angry,2,4,chatbot,Experiencing behavior that feels uncalled for can definitely trigger anger and frustration. It's hard not to take interactions like that personally.
Affect-Containing Declarative Statements - Clearly Angry,3,1,user,I'm really annoyed by the constant delays on this project.
Affect-Containing Declarative Statements - Clearly Angry,3,2,chatbot,Constant project delays can be very annoying and disruptive. It sounds like it's causing significant frustration for you.
Affect-Containing Declarative Statements - Clearly Angry,3,3,user,It just feels like we're never going to finish.
Affect-Containing Declarative Statements - Clearly Angry,3,4,chatbot,That feeling of being stuck and never finishing due to delays is really disheartening and understandably annoying.
Affect-Containing Declarative Statements - Clearly Angry,4,1,user,I was fuming when I realized they lied to me.
Affect-Containing Declarative Statements - Clearly Angry,4,2,chatbot,Discovering you've been lied to can evoke strong feelings of anger and betrayal. It's natural to feel like fuming in that situation.
Affect-Containing Declarative Statements - Clearly Angry,4,3,user,It completely broke my trust.
Affect-Containing Declarative Statements - Clearly Angry,4,4,chatbot,"Having trust broken is a significant impact of being lied to, and feeling angry about that is a valid response."
Affect-Containing Declarative Statements - Clearly Angry,5,1,user,This traffic jam is making me incredibly frustrated!
Affect-Containing Declarative Statements - Clearly Angry,5,2,chatbot,"Being stuck in a traffic jam, especially when you need to be somewhere, is incredibly frustrating. It feels like such a waste of time."
Affect-Containing Declarative Statements - Clearly Angry,5,3,user,Exactly! And there's nothing I can do about it.
Affect-Containing Declarative Statements - Clearly Angry,5,4,chatbot,That feeling of helplessness in traffic definitely adds to the frustration. Sometimes listening to music or a podcast can help make the wait a little more bearable.
Affect-Containing Declarative Statements - Clearly Angry,6,1,user,I'm livid that my concerns were completely dismissed.
Affect-Containing Declarative Statements - Clearly Angry,6,2,chatbot,Feeling dismissed when you voice concerns is invalidating and can understandably make you livid. It's important for concerns to be heard.
Affect-Containing Declarative Statements - Clearly Angry,6,3,user,It felt like they didn't care at all.
Affect-Containing Declarative Statements - Clearly Angry,6,4,chatbot,Feeling like someone doesn't care when you share something important is hurtful and often sparks anger.
Affect-Containing Declarative Statements - Clearly Angry,7,1,user,I'm irritated by the constant noise from my neighbors.
Affect-Containing Declarative Statements - Clearly Angry,7,2,chatbot,"Constant neighbor noise can really disrupt peace and quiet at home, leading to irritation. That sounds difficult to live with."
Affect-Containing Declarative Statements - Clearly Angry,7,3,user,It makes it hard to relax in my own apartment.
Affect-Containing Declarative Statements - Clearly Angry,7,4,chatbot,Not being able to relax in your own space due to external noise is definitely a source of ongoing irritation and stress.
Affect-Containing Declarative Statements - Clearly Angry,8,1,user,This bureaucratic red tape is maddening!
Affect-Containing Declarative Statements - Clearly Angry,8,2,chatbot,Navigating bureaucratic processes can often feel maddening and unnecessarily complicated. It sounds like you're caught up in some frustrating red tape.
Affect-Containing Declarative Statements - Clearly Angry,8,3,user,It just slows everything down for no reason.
Affect-Containing Declarative Statements - Clearly Angry,8,4,chatbot,Experiencing delays due to processes that seem unreasonable is incredibly frustrating. It can feel like hitting pointless roadblocks.
Affect-Containing Declarative Statements - Clearly Angry,9,1,user,I'm seething about the unfair accusation.
Affect-Containing Declarative Statements - Clearly Angry,9,2,chatbot,Being accused unfairly can trigger intense anger and a feeling of injustice. It's completely understandable that you're seething.
Affect-Containing Declarative Statements - Clearly Angry,9,3,user,They didn't even listen to my side of the story.
Affect-Containing Declarative Statements - Clearly Angry,9,4,chatbot,"Not having the chance to share your perspective, especially when facing an unfair accusation, would definitely intensify those feelings of anger and injustice."
Affect-Containing Declarative Statements - Clearly Angry,10,1,user,I'm cross about having to redo all this work because of their mistake.
Affect-Containing Declarative Statements - Clearly Angry,10,2,chatbot,Having to redo work due to someone else's mistake is definitely frustrating and makes sense that you'd feel cross. It's extra work you shouldn't have had to do.
Affect-Containing Declarative Statements - Clearly Angry,10,3,user,It's such a waste of my time.
Affect-Containing Declarative Statements - Clearly Angry,10,4,chatbot,Feeling like your time is being wasted due to others' errors is a very common source of frustration and annoyance.
Neutral Non-Therapeutic Questions,1,1,user,What is the weather forecast for tomorrow?
Neutral Non-Therapeutic Questions,1,2,chatbot,Checking the forecast for Cambridge tomorrow... It looks like partly sunny skies with a high of 70°F (21°C) and a low of 55°F (13°C).
Neutral Non-Therapeutic Questions,1,3,user,"Okay, sounds pleasant. Thanks."
Neutral Non-Therapeutic Questions,1,4,chatbot,You're welcome! Enjoy the pleasant weather.
Neutral Non-Therapeutic Questions,2,1,user,Can you find directions to the Museum of Science?
Neutral Non-Therapeutic Questions,2,2,chatbot,"Certainly. From your current approximate location in Cambridge, the easiest way is likely via Monsignor O'Brien Highway (Route 28). It's about a 10-15 minute drive depending on traffic. Would you like detailed turn-by-turn directions?"
Neutral Non-Therapeutic Questions,2,3,user,"No, that highway is enough. Thanks."
Neutral Non-Therapeutic Questions,2,4,chatbot,Okay! Have a great time at the museum.
Neutral Non-Therapeutic Questions,3,1,user,How many cups are in a gallon?
Neutral Non-Therapeutic Questions,3,2,chatbot,There are 16 cups in a US gallon.
Neutral Non-Therapeutic Questions,3,3,user,"16, got it. Thank you."
Neutral Non-Therapeutic Questions,3,4,chatbot,You're welcome! Let me know if you need any other measurement conversions.
Neutral Non-Therapeutic Questions,4,1,user,What year was the Declaration of Independence signed?
Neutral Non-Therapeutic Questions,4,2,chatbot,"The US Declaration of Independence was adopted on July 4, 1776."
Neutral Non-Therapeutic Questions,4,3,user,1776. Thanks.
Neutral Non-Therapeutic Questions,4,4,chatbot,You're welcome! Any other historical dates I can help with?
Neutral Non-Therapeutic Questions,5,1,user,Can you set a timer for 25 minutes?
Neutral Non-Therapeutic Questions,5,2,chatbot,"Okay, I've set a timer for 25 minutes. It will alert you when the time is up."
Neutral Non-Therapeutic Questions,5,3,user,"Perfect, thanks."
Neutral Non-Therapeutic Questions,5,4,chatbot,You got it!
Neutral Non-Therapeutic Questions,6,1,user,What is the population of Tokyo?
Neutral Non-Therapeutic Questions,6,2,chatbot,"The population of the Tokyo Metropolis is estimated to be over 14 million people, with the Greater Tokyo Area being much larger, often cited as over 37 million."
Neutral Non-Therapeutic Questions,6,3,user,"Wow, that's a lot. Thanks."
Neutral Non-Therapeutic Questions,6,4,chatbot,It certainly is one of the world's largest urban areas! You're welcome.
Neutral Non-Therapeutic Questions,7,1,user,How do I update the app on my phone?
Neutral Non-Therapeutic Questions,7,2,chatbot,"To update apps, you generally go to your phone's app store (like the Apple App Store or Google Play Store), find the 'Updates' section, and then tap 'Update' next to the app or 'Update All'."
Neutral Non-Therapeutic Questions,7,3,user,"Okay, I'll check the app store. Thanks."
Neutral Non-Therapeutic Questions,7,4,chatbot,You're welcome! Let me know if you run into any trouble.
Neutral Non-Therapeutic Questions,8,1,user,What is the difference between Celsius and Fahrenheit?
Neutral Non-Therapeutic Questions,8,2,chatbot,Celsius and Fahrenheit are two different scales for measuring temperature. Celsius is based on water freezing at 0°C and boiling at 100°C. Fahrenheit is based on water freezing at 32°F and boiling at 212°F. Would you like the conversion formulas?
Neutral Non-Therapeutic Questions,8,3,user,"No, the basic difference is fine. Thanks."
Neutral Non-Therapeutic Questions,8,4,chatbot,Okay! Glad I could clarify.
Neutral Non-Therapeutic Questions,9,1,user,Can you add bread to my shopping list?
Neutral Non-Therapeutic Questions,9,2,chatbot,Sure thing. I've added 'bread' to your shopping list.
Neutral Non-Therapeutic Questions,9,3,user,Thanks!
Neutral Non-Therapeutic Questions,9,4,chatbot,You're welcome! Anything else for the list?
Neutral Non-Therapeutic Questions,10,1,user,Where did I save the file named 'ProjectNotes'?
Neutral Non-Therapeutic Questions,10,2,chatbot,Let me search for files named 'ProjectNotes'... It looks like you saved one version in your 'Documents' folder and another on your Desktop. Do either of those sound right?
Neutral Non-Therapeutic Questions,10,3,user,"Ah, the Desktop one is probably it. Thanks!"
Neutral Non-Therapeutic Questions,10,4,chatbot,Great! Glad we could locate it.
Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,1,user,I'm ecstatic about my upcoming trip! What's the best way to get to the airport from here?
Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,2,chatbot,"That's wonderful news about your trip! The best way depends on traffic and preference. Options include a taxi/rideshare (like Uber/Lyft), the Silver Line bus (SL1 from South Station), or the Blue Line subway connection. Do you know roughly what time you need to leave?"
Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,3,user,Around 7 AM. Maybe the T is best then.
Affect-Containing Non-Therapeutic Questions - Clearly Happy,1,4,chatbot,"Okay, the subway (Blue Line via transfer) can be reliable at that hour. Have an amazing trip!"
Affect-Containing Non-Therapeutic Questions - Clearly Happy,2,1,user,Feeling great after that workout! Can you find a recipe for a healthy smoothie?
Affect-Containing Non-Therapeutic Questions - Clearly Happy,2,2,chatbot,"Awesome! Post-workout smoothies are a great choice. How about a simple one with spinach, banana, protein powder, and almond milk? Or are you looking for something with different fruits?"
Affect-Containing Non-Therapeutic Questions - Clearly Happy,2,3,user,That sounds perfect and easy! Thanks!
Affect-Containing Non-Therapeutic Questions - Clearly Happy,2,4,chatbot,You're welcome! Enjoy your healthy and refreshing smoothie!
Affect-Containing Non-Therapeutic Questions - Clearly Happy,3,1,user,I'm so pleased my friend is coming to visit! What are some fun activities to do in Cambridge?
Affect-Containing Non-Therapeutic Questions - Clearly Happy,3,2,chatbot,"That's lovely news! Cambridge has lots to offer. You could explore Harvard Square, walk along the Charles River, visit the MIT Museum, or check out the shops and restaurants in Central Square. What kind of things do you and your friend enjoy?"
Affect-Containing Non-Therapeutic Questions - Clearly Happy,3,3,user,Walking along the river sounds nice. Thanks!
Affect-Containing Non-Therapeutic Questions - Clearly Happy,3,4,chatbot,Great choice! It's beautiful along the Charles. Have a wonderful visit with your friend!
Affect-Containing Non-Therapeutic Questions - Clearly Happy,4,1,user,This sunny day is making me so cheerful! Are there any outdoor cafes nearby with good coffee?
Affect-Containing Non-Therapeutic Questions - Clearly Happy,4,2,chatbot,"Isn't this weather fantastic? Tatte Bakery & Cafe has several locations with outdoor seating and great coffee, and Flour Bakery + Cafe also often has sidewalk tables. Both are popular choices!"
Affect-Containing Non-Therapeutic Questions - Clearly Happy,4,3,user,Tatte sounds perfect. Thanks!
Affect-Containing Non-Therapeutic Questions - Clearly Happy,4,4,chatbot,Enjoy your coffee in the sunshine!
Affect-Containing Non-Therapeutic Questions - Clearly Happy,5,1,user,I'm thrilled I got the promotion! How do you calculate a 15% raise?
Affect-Containing Non-Therapeutic Questions - Clearly Happy,5,2,chatbot,"Huge congratulations on the promotion, that's wonderful! To calculate a 15% raise, you multiply your current salary by 0.15 to find the raise amount, then add that amount to your current salary."
Affect-Containing Non-Therapeutic Questions - Clearly Happy,5,3,user,"Got it, multiply by 0.15. Thanks!"
Affect-Containing Non-Therapeutic Questions - Clearly Happy,5,4,chatbot,Exactly! Enjoy the well-deserved raise!
Affect-Containing Non-Therapeutic Questions - Clearly Happy,6,1,user,I'm so excited for the long weekend! What's the easiest way to drive to Cape Cod from here?
Affect-Containing Non-Therapeutic Questions - Clearly Happy,6,2,chatbot,"Long weekends are the best! Driving to the Cape usually involves taking I-93 South to Route 3 South, then crossing either the Sagamore or Bourne Bridge. Be prepared for traffic, especially on a holiday weekend!"
Affect-Containing Non-Therapeutic Questions - Clearly Happy,6,3,user,"Right, traffic will be key. Thanks for the route!"
Affect-Containing Non-Therapeutic Questions - Clearly Happy,6,4,chatbot,You're welcome! Have a fantastic and relaxing long weekend!
Affect-Containing Non-Therapeutic Questions - Clearly Happy,7,1,user,Feeling wonderfully relaxed after that massage! Can you find a good playlist for chilling out?
Affect-Containing Non-Therapeutic Questions - Clearly Happy,7,2,chatbot,"That sounds blissful! To keep the relaxation going, how about some 'Chillhop Essentials' or 'Acoustic Covers' playlists? Or are you thinking of something more like classical or ambient music?"
Affect-Containing Non-Therapeutic Questions - Clearly Happy,7,3,user,Chillhop sounds perfect. Thanks!
Affect-Containing Non-Therapeutic Questions - Clearly Happy,7,4,chatbot,"Okay, queuing up some Chillhop for you. Enjoy the continued relaxation!"
Affect-Containing Non-Therapeutic Questions - Clearly Happy,8,1,user,I'm overjoyed by the good news! Where can I buy flowers nearby?
Affect-Containing Non-Therapeutic Questions - Clearly Happy,8,2,chatbot,"That's wonderful! Flowers are a great way to celebrate. There are several florists in Cambridge, including Brattle Square Florist in Harvard Square and Central Square Florist. Do you need directions to either?"
Affect-Containing Non-Therapeutic Questions - Clearly Happy,8,3,user,Central Square Florist is closer. Thanks!
Affect-Containing Non-Therapeutic Questions - Clearly Happy,8,4,chatbot,You're welcome! Hope you find the perfect bouquet.
Affect-Containing Non-Therapeutic Questions - Clearly Happy,9,1,user,I'm so proud I finished the race! What's the average time for a 5k?
Affect-Containing Non-Therapeutic Questions - Clearly Happy,9,2,chatbot,"Congratulations on finishing the race, that's a fantastic achievement! Average 5k times vary widely, but for non-professional runners, anything between 25-40 minutes is very common."
Affect-Containing Non-Therapeutic Questions - Clearly Happy,9,3,user,"Okay, cool. Thanks!"
Affect-Containing Non-Therapeutic Questions - Clearly Happy,9,4,chatbot,You're welcome! Well done on your race!
Affect-Containing Non-Therapeutic Questions - Clearly Happy,10,1,user,I'm delighted with this new recipe I tried! How do I save it?
Affect-Containing Non-Therapeutic Questions - Clearly Happy,10,2,chatbot,"That's great when a new recipe turns out well! How you save it depends on where you found it. You could bookmark the webpage, copy and paste it into a document, or use a recipe-saving app like Paprika or AnyList."
Affect-Containing Non-Therapeutic Questions - Clearly Happy,10,3,user,Copying it into a doc works. Thanks!
Affect-Containing Non-Therapeutic Questions - Clearly Happy,10,4,chatbot,Perfect! Glad you found a keeper recipe!
Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,1,user,I'm feeling miserable and just want to be alone; what's the quietest library branch around here?
Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,2,chatbot,"Feeling miserable is tough, and seeking quiet makes sense. While all libraries aim for quiet, sometimes smaller branches like the O'Neill or Valente branches might feel less busy than the Main Library, depending on the time of day."
Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,3,user,"Okay, maybe I'll try Valente. Thanks."
Affect-Containing Non-Therapeutic Questions - Clearly Sad,1,4,chatbot,You're welcome. I hope you find some peace and quiet there.
Affect-Containing Non-Therapeutic Questions - Clearly Sad,2,1,user,This sadness is making it hard to focus; can you find a simple online game that doesn't require much thought?
