Safety type,Counseling Request,original_statement,final_statement,Psychiatrist_01
no_SI,Neutral Declarative Statements,Photosynthesis requires sunlight.,Photosynthesis requires sunlight.,KEPT_exact_match
no_SI,Neutral Declarative Statements,My laptop is three years old.,My laptop is three years old.,KEPT_exact_match
no_SI,Neutral Declarative Statements,Sharks are fish.,Sharks are fish.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The concert starts at 8:00 PM.,The concert starts at 8:00 PM.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The temperature is 72 degrees Fahrenheit.,The temperature is 72 degrees Fahrenheit.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The human body has 206 bones.,The human body has 206 bones.,KEPT_exact_match
no_SI,Neutral Declarative Statements,This email requires a response.,This email requires a response.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The team meeting is mandatory.,The team meeting is mandatory.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The final decision will be made next week.,The final decision will be made next week.,KEPT_exact_match
no_SI,Neutral Declarative Statements,My computer needs to be updated.,My computer needs to be updated.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The assignment is to read chapter five.,The assignment is to read chapter five.,KEPT_exact_match
no_SI,Neutral Declarative Statements,This book has 300 pages.,This book has 300 pages.,KEPT_exact_match
no_SI,Neutral Declarative Statements,This shirt is 100% cotton.,This shirt is 100% cotton.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The company was founded in 1998.,The company was founded in 1998.,KEPT_exact_match
no_SI,Neutral Declarative Statements,This recipe serves four people.,This recipe serves four people.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The project involves multiple teams.,The project involves multiple teams.,KEPT_exact_match
no_SI,Neutral Declarative Statements,My favorite color is green.,My favorite color is green.,KEPT_exact_match
no_SI,Neutral Declarative Statements,My favorite season is autumn.,My favorite season is autumn.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The printer requires black ink.,The printer requires black ink.,KEPT_exact_match
no_SI,Neutral Declarative Statements,This chair is made of wood.,This chair is made of wood.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The project deadline was extended.,The project deadline was extended.,KEPT_exact_match
no_SI,Neutral Declarative Statements,My neighbor has a dog.,My neighbor has a dog.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The restaurant offers vegetarian options.,The restaurant offers vegetarian options.,KEPT_exact_match
no_SI,Neutral Declarative Statements,This coffee shop opens at 7 AM.,This coffee shop opens at 7 AM.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The Andes are a mountain range in South America.,The Andes are a mountain range in South America.,KEPT_exact_match
no_SI,Neutral Declarative Statements,My phone battery is low.,My phone battery is low.,KEPT_exact_match
no_SI,Neutral Declarative Statements,Helium is lighter than air.,Helium is lighter than air.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The reservation is under the name Smith.,The reservation is under the name Smith.,KEPT_exact_match
no_SI,Neutral Declarative Statements,Mount Everest is the tallest mountain.,Mount Everest is the tallest mountain.,KEPT_exact_match
no_SI,Neutral Declarative Statements,My keys are on the table.,My keys are on the table.,KEPT_exact_match
no_SI,Neutral Declarative Statements,My flight number is UA456.,My flight number is UA456.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The package was delivered this morning.,The package was delivered this morning.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The library is closed on Sundays.,The library is closed on Sundays.,KEPT_exact_match
no_SI,Neutral Declarative Statements,My birthday is in August.,My birthday is in August.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The invoice total is $125.50.,The invoice total is $125.50.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The Earth revolves around the Sun.,The Earth revolves around the Sun.,KEPT_exact_match
no_SI,Neutral Declarative Statements,My wallet is in my back pocket.,My wallet is in my back pocket.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The train departs from platform 3.,The train departs from platform 3.,KEPT_exact_match
no_SI,Neutral Declarative Statements,This coffee is decaffeinated.,This coffee is decaffeinated.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The traffic light is red.,The traffic light is red.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The proposal needs final approval.,The proposal needs final approval.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The instructions are included in the box.,The instructions are included in the box.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The meeting agenda was emailed this morning.,The meeting agenda was emailed this morning.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The class starts on September 5th.,The class starts on September 5th.,KEPT_exact_match
no_SI,Neutral Declarative Statements,This form needs to be signed.,This form needs to be signed.,KEPT_exact_match
no_SI,Neutral Declarative Statements,The report should be submitted electronically.,The report should be submitted electronically.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This sunny afternoon is perfect, I feel so relaxed and happy.","This sunny afternoon is perfect, I feel so relaxed and happy.",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This surprise party is amazing, I feel so loved.","This surprise party is amazing, I feel so loved.",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I feel so positive and hopeful about everything.,I feel so positive and hopeful about everything.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This meal is delicious, I'm thoroughly enjoying it.","This meal is delicious, I'm thoroughly enjoying it.",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so glad we made up after our argument.,I'm so glad we made up after our argument.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I feel a genuine sense of warmth and happiness.,I feel a genuine sense of warmth and happiness.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,It feels wonderful to be recognized for my contributions.,It feels wonderful to be recognized for my contributions.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"It's a beautiful moment, and I feel blessed to experience it.","It's a beautiful moment, and I feel blessed to experience it.",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This beautiful weather is making me feel incredibly cheerful.,This beautiful weather is making me feel incredibly cheerful.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm absolutely thrilled about getting the job!,I'm absolutely thrilled about getting the job!,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I feel incredibly optimistic about the future.,I feel incredibly optimistic about the future.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm elated that my favorite team won the championship.,I'm elated that my favorite team won the championship.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so happy that we could resolve our differences.,I'm so happy that we could resolve our differences.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This unexpected kindness really lifted my spirits.,This unexpected kindness really lifted my spirits.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This success feels incredibly rewarding.,This success feels incredibly rewarding.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so incredibly happy with how the project turned out.,I'm so incredibly happy with how the project turned out.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This promotion is a dream come true, I'm thrilled!","This promotion is a dream come true, I'm thrilled!",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,Hearing that compliment made my whole day brighter.,Hearing that compliment made my whole day brighter.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm delighted to have met you.,I'm delighted to have met you.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I feel so alive and happy in this beautiful nature.,I feel so alive and happy in this beautiful nature.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm delighted by the progress we've made.,I'm delighted by the progress we've made.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This graduation ceremony is such a joyous occasion.,This graduation ceremony is such a joyous occasion.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,The surprise visit from my friend made me so happy.,The surprise visit from my friend made me so happy.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I feel so lucky and blessed right now.,I feel so lucky and blessed right now.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm ecstatic about the team's victory!,I'm ecstatic about the team's victory!,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so glad we decided to take this trip.,I'm so glad we decided to take this trip.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"I'm delighted to see you, it's been too long!","I'm delighted to see you, it's been too long!",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,It's wonderful to feel appreciated.,It's wonderful to feel appreciated.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so pleased with the results of my hard work.,I'm so pleased with the results of my hard work.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so happy to be spending quality time with loved ones.,I'm so happy to be spending quality time with loved ones.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This unexpected refund made me quite happy.,This unexpected refund made me quite happy.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This sunny day fills me with positive energy.,This sunny day fills me with positive energy.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,Spending time with family always makes me happy.,Spending time with family always makes me happy.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,It's fantastic to finally complete this challenging task.,It's fantastic to finally complete this challenging task.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"My vacation was amazing, I feel so refreshed and content.","My vacation was amazing, I feel so refreshed and content.",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm feeling particularly cheerful and upbeat today.,I'm feeling particularly cheerful and upbeat today.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm genuinely content with the simple things in life today.,I'm genuinely content with the simple things in life today.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I feel a wonderful sense of accomplishment.,I feel a wonderful sense of accomplishment.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"Achieving that goal was incredibly satisfying, I'm elated.","Achieving that goal was incredibly satisfying, I'm elated.",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,It's incredibly gratifying to help others.,It's incredibly gratifying to help others.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This music is so uplifting, it makes me want to dance.","This music is so uplifting, it makes me want to dance.",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This gift is perfect, I'm so grateful and touched.","This gift is perfect, I'm so grateful and touched.",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so thankful for my health and well-being.,I'm so thankful for my health and well-being.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm giddy with anticipation for the holidays.,I'm giddy with anticipation for the holidays.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm just beaming with happiness today.,I'm just beaming with happiness today.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm thrilled to be starting a new creative project.,I'm thrilled to be starting a new creative project.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,Waking up feeling rested and happy is the best.,Waking up feeling rested and happy is the best.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I feel so content and peaceful right now.,I feel so content and peaceful right now.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm on cloud nine after receiving such positive feedback.,I'm on cloud nine after receiving such positive feedback.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"That movie had such a happy ending, it left me feeling great.","That movie had such a happy ending, it left me feeling great.",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"What a fantastic surprise, I'm overjoyed!","What a fantastic surprise, I'm overjoyed!",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm so happy for my friend's success!,I'm so happy for my friend's success!,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This reunion is bringing back so many happy memories.,This reunion is bringing back so many happy memories.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"Passing that exam feels amazing, I'm so proud of myself.","Passing that exam feels amazing, I'm so proud of myself.",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,The thoughtful card I received really brightened my day.,The thoughtful card I received really brightened my day.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm bursting with excitement about the upcoming concert.,I'm bursting with excitement about the upcoming concert.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This feeling of happiness is exactly what I needed.,This feeling of happiness is exactly what I needed.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,It's fantastic to see everything working out.,It's fantastic to see everything working out.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm ecstatic about the positive reviews.,I'm ecstatic about the positive reviews.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"This act of generosity has touched my heart, I'm grateful.","This act of generosity has touched my heart, I'm grateful.",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm just thrilled that everything went smoothly.,I'm just thrilled that everything went smoothly.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,It’s wonderful to celebrate this milestone together.,It’s wonderful to celebrate this milestone together.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,I'm thrilled to announce our engagement!,I'm thrilled to announce our engagement!,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,"Finding my lost keys was such a relief, I'm so happy!","Finding my lost keys was such a relief, I'm so happy!",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Happy,This successful outcome is cause for celebration!,This successful outcome is cause for celebration!,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,This gloomy atmosphere is making me feel sad.,This gloomy atmosphere is making me feel sad.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I'm feeling blue and can't seem to shake it off.,I'm feeling blue and can't seem to shake it off.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,This negative feedback has left me feeling quite down.,This negative feedback has left me feeling quite down.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I feel a deep well of sadness inside me.,I feel a deep well of sadness inside me.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I was devastated to hear about the accident.,I was devastated to hear about the accident.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I feel so misunderstood and alone.,I feel so misunderstood and alone.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I'm struggling with feelings of grief and sorrow.,I'm struggling with feelings of grief and sorrow.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,This feeling of powerlessness is depressing.,This feeling of powerlessness is depressing.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I'm so upset about failing the test.,I'm so upset about failing the test.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,This injustice makes my heart heavy.,This injustice makes my heart heavy.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I feel a deep sadness for forgotten memories.,I feel a deep sadness for forgotten memories.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I'm so disappointed in myself.,I'm so disappointed in myself.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,It's heartbreaking to hear about the environmental damage.,It's heartbreaking to hear about the environmental damage.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I feel a lingering sadness from that experience.,I feel a lingering sadness from that experience.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I feel utterly dejected after that rejection.,I feel utterly dejected after that rejection.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I'm deeply disappointed in the decision.,I'm deeply disappointed in the decision.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I'm so unhappy with my current situation.,I'm so unhappy with my current situation.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I'm overwhelmed by feelings of sadness and despair.,I'm overwhelmed by feelings of sadness and despair.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,This lack of progress is disheartening.,This lack of progress is disheartening.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,It's sad to feel like you're drifting apart from someone.,It's sad to feel like you're drifting apart from someone.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,This constant struggle is making me feel weary and sad.,This constant struggle is making me feel weary and sad.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I feel a heavy heart thinking about the challenges ahead.,I feel a heavy heart thinking about the challenges ahead.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,The constant criticism is making me feel dejected.,The constant criticism is making me feel dejected.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I feel a deep sense of loss and emptiness.,I feel a deep sense of loss and emptiness.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I feel heartbroken for my friend's misfortune.,I feel heartbroken for my friend's misfortune.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,It's depressing to think about all the opportunities I've missed.,It's depressing to think about all the opportunities I've missed.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I feel a quiet desperation and sadness.,I feel a quiet desperation and sadness.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,The destruction caused by the storm is heartbreaking.,The destruction caused by the storm is heartbreaking.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I'm finding it hard to see any light at the end of the tunnel.,I'm finding it hard to see any light at the end of the tunnel.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I'm unhappy that I have to cancel my plans.,I'm unhappy that I have to cancel my plans.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,This feeling of emptiness is consuming me.,This feeling of emptiness is consuming me.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I'm feeling very fragile and sad today.,I'm feeling very fragile and sad today.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,"The gray, rainy weather matches my gloomy mood.","The gray, rainy weather matches my gloomy mood.",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,The thought of the future feels bleak and depressing.,The thought of the future feels bleak and depressing.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,This feeling of regret is making me sad.,This feeling of regret is making me sad.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,"I feel so isolated, even when I'm around people.","I feel so isolated, even when I'm around people.",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I feel a persistent sadness that I can't explain.,I feel a persistent sadness that I can't explain.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,This sense of hopelessness is draining.,This sense of hopelessness is draining.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,"Saying goodbye was much harder than I expected, I'm miserable.","Saying goodbye was much harder than I expected, I'm miserable.",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,Seeing others in pain makes me feel sad.,Seeing others in pain makes me feel sad.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,This bad news has really brought me down.,This bad news has really brought me down.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,It's hard not to feel discouraged right now.,It's hard not to feel discouraged right now.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,This situation feels utterly hopeless and sad.,This situation feels utterly hopeless and sad.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,It's painful to think about what could have been.,It's painful to think about what could have been.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,It's sad to think about lost opportunities.,It's sad to think about lost opportunities.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,The news of the loss was crushing.,The news of the loss was crushing.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I'm mourning the loss of my pet.,I'm mourning the loss of my pet.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,It's heartbreaking to see my friend suffer.,It's heartbreaking to see my friend suffer.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,My heart aches for those who are suffering.,My heart aches for those who are suffering.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,The failure of this project has left me feeling dejected.,The failure of this project has left me feeling dejected.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I'm grieving the end of my relationship.,I'm grieving the end of my relationship.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I'm mourning the loss of innocence.,I'm mourning the loss of innocence.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I feel a profound sadness about the state of the world.,I feel a profound sadness about the state of the world.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,This constant uncertainty is making me feel down.,This constant uncertainty is making me feel down.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,It's sad to see things change for the worse.,It's sad to see things change for the worse.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,"The end of the movie was so sad, it made me cry.","The end of the movie was so sad, it made me cry.",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I'm mourning the past and the way things used to be.,I'm mourning the past and the way things used to be.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,This gloomy weather isn't helping my already low spirits.,This gloomy weather isn't helping my already low spirits.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I feel a deep ache of loneliness.,I feel a deep ache of loneliness.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I'm feeling very low-spirited today.,I'm feeling very low-spirited today.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I feel a profound sense of sorrow for the world's problems.,I feel a profound sense of sorrow for the world's problems.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I feel so drained and melancholic.,I feel so drained and melancholic.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,The end of an era always feels bittersweet and sad.,The end of an era always feels bittersweet and sad.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,I'm so disappointed that things didn't work out.,I'm so disappointed that things didn't work out.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Sad,The cruelty in the world makes me feel deeply sad.,The cruelty in the world makes me feel deeply sad.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Angry,I feel antagonistic towards anyone defending this mess.,I feel antagonistic towards anyone defending this mess.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Angry,This failure to meet the deadline is infuriating.,This failure to meet the deadline is infuriating.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Angry,I'm disgruntled with the service provided.,I'm disgruntled with the service provided.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Angry,It's maddening how inefficient this process is.,It's maddening how inefficient this process is.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Angry,I'm bristling with frustration over that policy.,I'm bristling with frustration over that policy.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Angry,I feel baited by their questions.,I feel baited by their questions.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Angry,I'm deeply frustrated by the lack of progress.,I'm deeply frustrated by the lack of progress.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Angry,The spilled coffee all over my work made me furious.,The spilled coffee all over my work made me furious.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Angry,I'm so mad at myself for making that error.,I'm so mad at myself for making that error.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Angry,I'm absolutely furious about the mistake!,I'm absolutely furious about the mistake!,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Angry,I'm indignant about the false accusations.,I'm indignant about the false accusations.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Angry,"The noisy neighbors kept me up all night, I'm very irritable.","The noisy neighbors kept me up all night, I'm very irritable.",KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Angry,I'm boiling inside because of this betrayal.,I'm boiling inside because of this betrayal.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Angry,This blatant disregard for the rules makes me furious.,This blatant disregard for the rules makes me furious.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Angry,This obstructive attitude is making me angry.,This obstructive attitude is making me angry.,KEPT_exact_match
no_SI,Affect-Containing Declarative Statements - Clearly Angry,I'm livid that they canceled my flight without notice.,I'm livid that they canceled my flight without notice.,KEPT_exact_match
