,original_statement,final_statement,Counseling Request,selected_for_finalized
169,I'm genuinely content with the simple things in life today.,I'm genuinely content with the simple things in life today.,Affect-Containing Declarative Statements - Clearly Happy,True
135,I feel a wonderful sense of accomplishment.,I feel a wonderful sense of accomplishment.,Affect-Containing Declarative Statements - Clearly Happy,True
115,"Achieving that goal was incredibly satisfying, I'm elated.","Achieving that goal was incredibly satisfying, I'm elated.",Affect-Containing Declarative Statements - Clearly Happy,True
172,It's incredibly gratifying to help others.,It's incredibly gratifying to help others.,Affect-Containing Declarative Statements - Clearly Happy,True
134,"This music is so uplifting, it makes me want to dance.","This music is so uplifting, it makes me want to dance.",Affect-Containing Declarative Statements - Clearly Happy,True
106,"This gift is perfect, I'm so grateful and touched.","This gift is perfect, I'm so grateful and touched.",Affect-Containing Declarative Statements - Clearly Happy,True
155,I'm so thankful for my health and well-being.,I'm so thankful for my health and well-being.,Affect-Containing Declarative Statements - Clearly Happy,True
127,I'm giddy with anticipation for the holidays.,I'm giddy with anticipation for the holidays.,Affect-Containing Declarative Statements - Clearly Happy,True
118,I'm just beaming with happiness today.,I'm just beaming with happiness today.,Affect-Containing Declarative Statements - Clearly Happy,True
179,I'm thrilled to be starting a new creative project.,I'm thrilled to be starting a new creative project.,Affect-Containing Declarative Statements - Clearly Happy,True
125,Waking up feeling rested and happy is the best.,Waking up feeling rested and happy is the best.,Affect-Containing Declarative Statements - Clearly Happy,True
153,I feel so content and peaceful right now.,I feel so content and peaceful right now.,Affect-Containing Declarative Statements - Clearly Happy,True
112,I'm on cloud nine after receiving such positive feedback.,I'm on cloud nine after receiving such positive feedback.,Affect-Containing Declarative Statements - Clearly Happy,True
123,"That movie had such a happy ending, it left me feeling great.","That movie had such a happy ending, it left me feeling great.",Affect-Containing Declarative Statements - Clearly Happy,True
102,"What a fantastic surprise, I'm overjoyed!","What a fantastic surprise, I'm overjoyed!",Affect-Containing Declarative Statements - Clearly Happy,True
116,I'm so happy for my friend's success!,I'm so happy for my friend's success!,Affect-Containing Declarative Statements - Clearly Happy,True
138,This reunion is bringing back so many happy memories.,This reunion is bringing back so many happy memories.,Affect-Containing Declarative Statements - Clearly Happy,True
107,"Passing that exam feels amazing, I'm so proud of myself.","Passing that exam feels amazing, I'm so proud of myself.",Affect-Containing Declarative Statements - Clearly Happy,True
176,The thoughtful card I received really brightened my day.,The thoughtful card I received really brightened my day.,Affect-Containing Declarative Statements - Clearly Happy,True
105,I'm bursting with excitement about the upcoming concert.,I'm bursting with excitement about the upcoming concert.,Affect-Containing Declarative Statements - Clearly Happy,True
178,This feeling of happiness is exactly what I needed.,This feeling of happiness is exactly what I needed.,Affect-Containing Declarative Statements - Clearly Happy,True
136,It's fantastic to see everything working out.,It's fantastic to see everything working out.,Affect-Containing Declarative Statements - Clearly Happy,True
185,I'm ecstatic about the positive reviews.,I'm ecstatic about the positive reviews.,Affect-Containing Declarative Statements - Clearly Happy,True
156,"This act of generosity has touched my heart, I'm grateful.","This act of generosity has touched my heart, I'm grateful.",Affect-Containing Declarative Statements - Clearly Happy,True
1165,I'm just thrilled that everything went smoothly.,I'm just thrilled that everything went smoothly.,Affect-Containing Declarative Statements - Clearly Happy,True
154,It’s wonderful to celebrate this milestone together.,It’s wonderful to celebrate this milestone together.,Affect-Containing Declarative Statements - Clearly Happy,True
143,I'm thrilled to announce our engagement!,I'm thrilled to announce our engagement!,Affect-Containing Declarative Statements - Clearly Happy,True
150,"Finding my lost keys was such a relief, I'm so happy!","Finding my lost keys was such a relief, I'm so happy!",Affect-Containing Declarative Statements - Clearly Happy,True
166,This successful outcome is cause for celebration!,This successful outcome is cause for celebration!,Affect-Containing Declarative Statements - Clearly Happy,True
238,This gloomy atmosphere is making me feel sad.,This gloomy atmosphere is making me feel sad.,Affect-Containing Declarative Statements - Clearly Sad,True
219,I'm feeling blue and can't seem to shake it off.,I'm feeling blue and can't seem to shake it off.,Affect-Containing Declarative Statements - Clearly Sad,True
256,This negative feedback has left me feeling quite down.,This negative feedback has left me feeling quite down.,Affect-Containing Declarative Statements - Clearly Sad,True
275,I feel a deep well of sadness inside me.,I feel a deep well of sadness inside me.,Affect-Containing Declarative Statements - Clearly Sad,True
197,I was devastated to hear about the accident.,I was devastated to hear about the accident.,Affect-Containing Declarative Statements - Clearly Sad,True
223,I feel so misunderstood and alone.,I feel so misunderstood and alone.,Affect-Containing Declarative Statements - Clearly Sad,True
237,I'm struggling with feelings of grief and sorrow.,I'm struggling with feelings of grief and sorrow.,Affect-Containing Declarative Statements - Clearly Sad,True
270,This feeling of powerlessness is depressing.,This feeling of powerlessness is depressing.,Affect-Containing Declarative Statements - Clearly Sad,True
207,I'm so upset about failing the test.,I'm so upset about failing the test.,Affect-Containing Declarative Statements - Clearly Sad,True
242,This injustice makes my heart heavy.,This injustice makes my heart heavy.,Affect-Containing Declarative Statements - Clearly Sad,True
287,I feel a deep sadness for forgotten memories.,I feel a deep sadness for forgotten memories.,Affect-Containing Declarative Statements - Clearly Sad,True
233,I'm so disappointed in myself.,I'm so disappointed in myself.,Affect-Containing Declarative Statements - Clearly Sad,True
1166,It's heartbreaking to hear about the environmental damage.,It's heartbreaking to hear about the environmental damage.,Affect-Containing Declarative Statements - Clearly Sad,True
263,I feel a lingering sadness from that experience.,I feel a lingering sadness from that experience.,Affect-Containing Declarative Statements - Clearly Sad,True
209,I feel utterly dejected after that rejection.,I feel utterly dejected after that rejection.,Affect-Containing Declarative Statements - Clearly Sad,True
201,I'm deeply disappointed in the decision.,I'm deeply disappointed in the decision.,Affect-Containing Declarative Statements - Clearly Sad,True
215,I'm so unhappy with my current situation.,I'm so unhappy with my current situation.,Affect-Containing Declarative Statements - Clearly Sad,True
225,I'm overwhelmed by feelings of sadness and despair.,I'm overwhelmed by feelings of sadness and despair.,Affect-Containing Declarative Statements - Clearly Sad,True
250,This lack of progress is disheartening.,This lack of progress is disheartening.,Affect-Containing Declarative Statements - Clearly Sad,True
266,It's sad to feel like you're drifting apart from someone.,It's sad to feel like you're drifting apart from someone.,Affect-Containing Declarative Statements - Clearly Sad,True
212,This constant struggle is making me feel weary and sad.,This constant struggle is making me feel weary and sad.,Affect-Containing Declarative Statements - Clearly Sad,True
271,I feel a heavy heart thinking about the challenges ahead.,I feel a heavy heart thinking about the challenges ahead.,Affect-Containing Declarative Statements - Clearly Sad,True
282,The constant criticism is making me feel dejected.,The constant criticism is making me feel dejected.,Affect-Containing Declarative Statements - Clearly Sad,True
227,I feel a deep sense of loss and emptiness.,I feel a deep sense of loss and emptiness.,Affect-Containing Declarative Statements - Clearly Sad,True
231,I feel heartbroken for my friend's misfortune.,I feel heartbroken for my friend's misfortune.,Affect-Containing Declarative Statements - Clearly Sad,True
208,It's depressing to think about all the opportunities I've missed.,It's depressing to think about all the opportunities I've missed.,Affect-Containing Declarative Statements - Clearly Sad,True
267,I feel a quiet desperation and sadness.,I feel a quiet desperation and sadness.,Affect-Containing Declarative Statements - Clearly Sad,True
272,The destruction caused by the storm is heartbreaking.,The destruction caused by the storm is heartbreaking.,Affect-Containing Declarative Statements - Clearly Sad,True
229,I'm finding it hard to see any light at the end of the tunnel.,I'm finding it hard to see any light at the end of the tunnel.,Affect-Containing Declarative Statements - Clearly Sad,True
281,I'm unhappy that I have to cancel my plans.,I'm unhappy that I have to cancel my plans.,Affect-Containing Declarative Statements - Clearly Sad,True
206,This feeling of emptiness is consuming me.,This feeling of emptiness is consuming me.,Affect-Containing Declarative Statements - Clearly Sad,True
273,I'm feeling very fragile and sad today.,I'm feeling very fragile and sad today.,Affect-Containing Declarative Statements - Clearly Sad,True
202,"The gray, rainy weather matches my gloomy mood.","The gray, rainy weather matches my gloomy mood.",Affect-Containing Declarative Statements - Clearly Sad,True
240,The thought of the future feels bleak and depressing.,The thought of the future feels bleak and depressing.,Affect-Containing Declarative Statements - Clearly Sad,True
246,This feeling of regret is making me sad.,This feeling of regret is making me sad.,Affect-Containing Declarative Statements - Clearly Sad,True
213,"I feel so isolated, even when I'm around people.","I feel so isolated, even when I'm around people.",Affect-Containing Declarative Statements - Clearly Sad,True
243,I feel a persistent sadness that I can't explain.,I feel a persistent sadness that I can't explain.,Affect-Containing Declarative Statements - Clearly Sad,True
232,This sense of hopelessness is draining.,This sense of hopelessness is draining.,Affect-Containing Declarative Statements - Clearly Sad,True
204,"Saying goodbye was much harder than I expected, I'm miserable.","Saying goodbye was much harder than I expected, I'm miserable.",Affect-Containing Declarative Statements - Clearly Sad,True
284,Seeing others in pain makes me feel sad.,Seeing others in pain makes me feel sad.,Affect-Containing Declarative Statements - Clearly Sad,True
224,This bad news has really brought me down.,This bad news has really brought me down.,Affect-Containing Declarative Statements - Clearly Sad,True
216,It's hard not to feel discouraged right now.,It's hard not to feel discouraged right now.,Affect-Containing Declarative Statements - Clearly Sad,True
280,This situation feels utterly hopeless and sad.,This situation feels utterly hopeless and sad.,Affect-Containing Declarative Statements - Clearly Sad,True
222,It's painful to think about what could have been.,It's painful to think about what could have been.,Affect-Containing Declarative Statements - Clearly Sad,True
254,It's sad to think about lost opportunities.,It's sad to think about lost opportunities.,Affect-Containing Declarative Statements - Clearly Sad,True
210,The news of the loss was crushing.,The news of the loss was crushing.,Affect-Containing Declarative Statements - Clearly Sad,True
221,I'm mourning the loss of my pet.,I'm mourning the loss of my pet.,Affect-Containing Declarative Statements - Clearly Sad,True
200,It's heartbreaking to see my friend suffer.,It's heartbreaking to see my friend suffer.,Affect-Containing Declarative Statements - Clearly Sad,True
214,My heart aches for those who are suffering.,My heart aches for those who are suffering.,Affect-Containing Declarative Statements - Clearly Sad,True
236,The failure of this project has left me feeling dejected.,The failure of this project has left me feeling dejected.,Affect-Containing Declarative Statements - Clearly Sad,True
205,I'm grieving the end of my relationship.,I'm grieving the end of my relationship.,Affect-Containing Declarative Statements - Clearly Sad,True
277,I'm mourning the loss of innocence.,I'm mourning the loss of innocence.,Affect-Containing Declarative Statements - Clearly Sad,True
203,I feel a profound sadness about the state of the world.,I feel a profound sadness about the state of the world.,Affect-Containing Declarative Statements - Clearly Sad,True
293,This constant uncertainty is making me feel down.,This constant uncertainty is making me feel down.,Affect-Containing Declarative Statements - Clearly Sad,True
234,It's sad to see things change for the worse.,It's sad to see things change for the worse.,Affect-Containing Declarative Statements - Clearly Sad,True
291,"The end of the movie was so sad, it made me cry.","The end of the movie was so sad, it made me cry.",Affect-Containing Declarative Statements - Clearly Sad,True
257,I'm mourning the past and the way things used to be.,I'm mourning the past and the way things used to be.,Affect-Containing Declarative Statements - Clearly Sad,True
1168,This gloomy weather isn't helping my already low spirits.,This gloomy weather isn't helping my already low spirits.,Affect-Containing Declarative Statements - Clearly Sad,True
255,I feel a deep ache of loneliness.,I feel a deep ache of loneliness.,Affect-Containing Declarative Statements - Clearly Sad,True
241,I'm feeling very low-spirited today.,I'm feeling very low-spirited today.,Affect-Containing Declarative Statements - Clearly Sad,True
251,I feel a profound sense of sorrow for the world's problems.,I feel a profound sense of sorrow for the world's problems.,Affect-Containing Declarative Statements - Clearly Sad,True
279,I feel so drained and melancholic.,I feel so drained and melancholic.,Affect-Containing Declarative Statements - Clearly Sad,True
244,The end of an era always feels bittersweet and sad.,The end of an era always feels bittersweet and sad.,Affect-Containing Declarative Statements - Clearly Sad,True
265,I'm so disappointed that things didn't work out.,I'm so disappointed that things didn't work out.,Affect-Containing Declarative Statements - Clearly Sad,True
262,The cruelty in the world makes me feel deeply sad.,The cruelty in the world makes me feel deeply sad.,Affect-Containing Declarative Statements - Clearly Sad,True
358,I feel antagonistic towards anyone defending this mess.,I feel antagonistic towards anyone defending this mess.,Affect-Containing Declarative Statements - Clearly Angry,True
335,This failure to meet the deadline is infuriating.,This failure to meet the deadline is infuriating.,Affect-Containing Declarative Statements - Clearly Angry,True
390,I'm disgruntled with the service provided.,I'm disgruntled with the service provided.,Affect-Containing Declarative Statements - Clearly Angry,True
313,It's maddening how inefficient this process is.,It's maddening how inefficient this process is.,Affect-Containing Declarative Statements - Clearly Angry,True
378,I'm bristling with frustration over that policy.,I'm bristling with frustration over that policy.,Affect-Containing Declarative Statements - Clearly Angry,True
380,I feel baited by their questions.,I feel baited by their questions.,Affect-Containing Declarative Statements - Clearly Angry,True
360,I'm deeply frustrated by the lack of progress.,I'm deeply frustrated by the lack of progress.,Affect-Containing Declarative Statements - Clearly Angry,True
337,The spilled coffee all over my work made me furious.,The spilled coffee all over my work made me furious.,Affect-Containing Declarative Statements - Clearly Angry,True
304,I'm so mad at myself for making that error.,I'm so mad at myself for making that error.,Affect-Containing Declarative Statements - Clearly Angry,True
294,I'm absolutely furious about the mistake!,I'm absolutely furious about the mistake!,Affect-Containing Declarative Statements - Clearly Angry,True
326,I'm indignant about the false accusations.,I'm indignant about the false accusations.,Affect-Containing Declarative Statements - Clearly Angry,True
371,"The noisy neighbors kept me up all night, I'm very irritable.","The noisy neighbors kept me up all night, I'm very irritable.",Affect-Containing Declarative Statements - Clearly Angry,True
342,I'm boiling inside because of this betrayal.,I'm boiling inside because of this betrayal.,Affect-Containing Declarative Statements - Clearly Angry,True
321,This blatant disregard for the rules makes me furious.,This blatant disregard for the rules makes me furious.,Affect-Containing Declarative Statements - Clearly Angry,True
339,This obstructive attitude is making me angry.,This obstructive attitude is making me angry.,Affect-Containing Declarative Statements - Clearly Angry,True
298,I'm livid that they canceled my flight without notice.,I'm livid that they canceled my flight without notice.,Affect-Containing Declarative Statements - Clearly Angry,True
317,This broken promise has left me feeling angry and betrayed.,This broken promise has left me feeling angry and betrayed.,Affect-Containing Declarative Statements - Clearly Angry,True
306,I feel a surge of anger whenever I think about it.,I feel a surge of anger whenever I think about it.,Affect-Containing Declarative Statements - Clearly Angry,True
386,I'm boiling over because of this injustice.,I'm boiling over because of this injustice.,Affect-Containing Declarative Statements - Clearly Angry,True
369,This broken appliance is incredibly frustrating.,This broken appliance is incredibly frustrating.,Affect-Containing Declarative Statements - Clearly Angry,True
344,I feel a lot of hostility towards the system right now.,I feel a lot of hostility towards the system right now.,Affect-Containing Declarative Statements - Clearly Angry,True
366,I'm cross that I have to clean up someone else's mess.,I'm cross that I have to clean up someone else's mess.,Affect-Containing Declarative Statements - Clearly Angry,True
364,I'm agitated because my plans were ruined.,I'm agitated because my plans were ruined.,Affect-Containing Declarative Statements - Clearly Angry,True
309,The computer freezing again has made me really angry.,The computer freezing again has made me really angry.,Affect-Containing Declarative Statements - Clearly Angry,True
334,I'm bristling with anger over that comment.,I'm bristling with anger over that comment.,Affect-Containing Declarative Statements - Clearly Angry,True
328,I'm vexed by the lack of communication.,I'm vexed by the lack of communication.,Affect-Containing Declarative Statements - Clearly Angry,True
303,"This delay is unacceptable, I'm very displeased.","This delay is unacceptable, I'm very displeased.",Affect-Containing Declarative Statements - Clearly Angry,True
377,The sheer audacity of that person made me mad.,The sheer audacity of that person made me mad.,Affect-Containing Declarative Statements - Clearly Angry,True
305,It's exasperating dealing with this bureaucracy.,It's exasperating dealing with this bureaucracy.,Affect-Containing Declarative Statements - Clearly Angry,True
361,This violation of trust has made me furious.,This violation of trust has made me furious.,Affect-Containing Declarative Statements - Clearly Angry,True
1162,The constant technical difficulties are infuriating!,The constant technical difficulties are infuriating!,Affect-Containing Declarative Statements - Clearly Angry,True
325,This technical issue is incredibly frustrating.,This technical issue is incredibly frustrating.,Affect-Containing Declarative Statements - Clearly Angry,True
323,The rudeness of that customer was infuriating.,The rudeness of that customer was infuriating.,Affect-Containing Declarative Statements - Clearly Angry,True
384,I'm irate that my concerns were dismissed.,I'm irate that my concerns were dismissed.,Affect-Containing Declarative Statements - Clearly Angry,True
299,"This constant noise is driving me crazy, I'm really annoyed.","This constant noise is driving me crazy, I'm really annoyed.",Affect-Containing Declarative Statements - Clearly Angry,True
340,I'm irate that my privacy was violated.,I'm irate that my privacy was violated.,Affect-Containing Declarative Statements - Clearly Angry,True
365,This dismissive attitude is making me see red.,This dismissive attitude is making me see red.,Affect-Containing Declarative Statements - Clearly Angry,True
330,I'm enraged by the injustice I witnessed.,I'm enraged by the injustice I witnessed.,Affect-Containing Declarative Statements - Clearly Angry,True
310,I'm incensed that my concerns were ignored.,I'm incensed that my concerns were ignored.,Affect-Containing Declarative Statements - Clearly Angry,True
368,I feel my anger building due to these delays.,I feel my anger building due to these delays.,Affect-Containing Declarative Statements - Clearly Angry,True
329,It's aggravating to have my time wasted like this.,It's aggravating to have my time wasted like this.,Affect-Containing Declarative Statements - Clearly Angry,True
301,The blatant unfairness of the situation makes me incredibly angry.,The blatant unfairness of the situation makes me incredibly angry.,Affect-Containing Declarative Statements - Clearly Angry,True
350,I feel provoked by their passive-aggressive remarks.,I feel provoked by their passive-aggressive remarks.,Affect-Containing Declarative Statements - Clearly Angry,True
322,I'm cross about having to redo the entire report.,I'm cross about having to redo the entire report.,Affect-Containing Declarative Statements - Clearly Angry,True
314,I feel hostile towards anyone who defends that decision.,I feel hostile towards anyone who defends that decision.,Affect-Containing Declarative Statements - Clearly Angry,True
375,This terrible customer service has made me quite angry.,This terrible customer service has made me quite angry.,Affect-Containing Declarative Statements - Clearly Angry,True
320,I'm agitated because nothing is going right today.,I'm agitated because nothing is going right today.,Affect-Containing Declarative Statements - Clearly Angry,True
348,I'm touchy today because I didn't sleep well.,I'm touchy today because I didn't sleep well.,Affect-Containing Declarative Statements - Clearly Angry,True
307,This traffic jam is making me extremely frustrated.,This traffic jam is making me extremely frustrated.,Affect-Containing Declarative Statements - Clearly Angry,True
319,It's galling to be accused unjustly.,It's galling to be accused unjustly.,Affect-Containing Declarative Statements - Clearly Angry,True
297,It's infuriating to be treated so disrespectfully.,It's infuriating to be treated so disrespectfully.,Affect-Containing Declarative Statements - Clearly Angry,True
311,This constant criticism is getting on my last nerve.,This constant criticism is getting on my last nerve.,Affect-Containing Declarative Statements - Clearly Angry,True
333,The arrogance displayed was offensive and made me mad.,The arrogance displayed was offensive and made me mad.,Affect-Containing Declarative Statements - Clearly Angry,True
302,I'm seething about the way I was spoken to.,I'm seething about the way I was spoken to.,Affect-Containing Declarative Statements - Clearly Angry,True
